	name
TIGR03287	putative methanogenesis marker 16 metalloprotein
TIGR03044	photosystem II protein Psb27
TIGR03501	gammaproteobacterial enzyme C-terminal transmembrane domain
TIGR00969	sulfate ABC transporter, permease protein
TIGR00583	DNA repair protein (mre11)
TIGR02505	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
TIGR03792	uncharacterized cyanobacterial protein, TIGR03792 family
TIGR00069	histidinol dehydrogenase
TIGR00379	cobyrinic acid a,c-diamide synthase
TIGR02629	L-rhamnose catabolism isomerase
TIGR01711	general secretion pathway protein J
TIGR01809	shikimate-5-dehydrogenase
TIGR01956	NusG family protein
TIGR03206	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
TIGR00807	malonate transporter, MadL subunit
TIGR01796	chorismate mutase
TIGR01493	HAD hydrolase, family IA, variant 2
TIGR00376	putative DNA helicase
TIGR02289	oligoendopeptidase, M3 family
TIGR02426	3-carboxy-cis,cis-muconate cycloisomerase
TIGR03449	UDP-N-acetylglucosamine: 1L-myo-inositol-1-phosphate 1-alpha-D-N-acetylglucosaminyltransferase
TIGR02145	Fibrobacter succinogenes major paralogous domain
TIGR00038	translation elongation factor P
TIGR01286	nitrogenase molybdenum-iron protein beta chain
TIGR02802	peptidoglycan-associated lipoprotein
TIGR02867	stage II sporulation protein P
TIGR00266	conserved hypothetical protein TIGR00266
TIGR02375	pseudoazurin
TIGR03257	methyl-coenzyme M reductase, beta subunit
TIGR00906	cationic amino acid transport permease
TIGR02490	flagellar basal-body rod protein FlgF
TIGR01334	modD protein
TIGR01374	sarcosine oxidase, delta subunit family
TIGR01324	cystathionine beta-lyase
TIGR02229	caa(3)-type oxidase, subunit IV
TIGR01877	CRISPR-associated endoribonuclease Cas6
TIGR02614	cell division protein FtsW
TIGR02552	type III secretion low calcium response chaperone LcrH/SycD
TIGR02122	TRAP transporter solute receptor, TAXI family
TIGR00138	16S rRNA methyltransferase GidB
TIGR00031	UDP-galactopyranose mutase
TIGR01246	succinyl-diaminopimelate desuccinylase
TIGR00066	gamma-glutamyltransferase
TIGR00782	cytochrome c oxidase, cbb3-type, subunit III
TIGR02376	nitrite reductase, copper-containing
TIGR00574	DNA ligase I, ATP-dependent (dnl1)
TIGR03326	ribulose bisphosphate carboxylase, type III
TIGR02977	phage shock protein A
TIGR00396	leucyl-tRNA synthetase
TIGR02554	type III secretion apparatus protein PrgH/EprH
TIGR03318	putative selenium-binding protein YdfZ
TIGR00801	uracil-xanthine permease
TIGR03014	exopolysaccharide biosynthesis operon protein EpsL
TIGR02018	histidine utilization repressor
TIGR02098	MJ0042 family finger-like domain
TIGR03417	choline-sulfatase
TIGR02467	precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit
TIGR02407	diaminobutyrate--2-oxoglutarate aminotransferase
TIGR02390	DNA-directed RNA polymerase subunit A'
TIGR00568	alkylated DNA repair protein AlkB
TIGR01519	Plasmodium falciparum uncharacterized domain
TIGR01463	methyltransferase, MtaA/CmuA family
TIGR02140	sulfate ABC transporter, permease protein CysW
TIGR00706	signal peptide peptidase SppA, 36K type
TIGR00181	oligoendopeptidase F
TIGR03636	archaeal ribosomal protein L23
TIGR03143	putative alkyl hydroperoxide reductase F subunit
TIGR00808	malonate transporter, MadM subunit
TIGR03532	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
TIGR00900	H+ Antiporter protein
TIGR01642	U2 snRNP auxilliary factor, large subunit, splicing factor
TIGR00508	adenosylmethionine-8-amino-7-oxononanoate transaminase
TIGR01731	adhesin HecA family 20-residue repeat (two copies)
TIGR00124	[citrate (pro-3S)-lyase] ligase
TIGR02271	conserved domain
TIGR02986	type II restriction endonuclease, Alw26I/Eco31I/Esp3I family
TIGR00614	ATP-dependent DNA helicase, RecQ family
TIGR00173	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
TIGR02431	beta-ketoadipate pathway transcriptional regulators, PcaR/PcaU/PobR family
TIGR02706	phosphate butyryltransferase
TIGR00514	acetyl-CoA carboxylase, biotin carboxylase subunit
TIGR01001	homoserine O-succinyltransferase
TIGR00232	transketolase
TIGR03180	OHCU decarboxylase
TIGR02968	succinate dehydrogenase, hydrophobic membrane anchor protein
TIGR01852	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase
TIGR00780	cytochrome c oxidase, cbb3-type, subunit I
TIGR03030	cellulose synthase catalytic subunit (UDP-forming)
TIGR02286	phenylacetic acid degradation protein PaaD
TIGR00958	antigen peptide transporter 2
TIGR03509	decaheme-associated outer membrane protein, MtrB/PioB family
TIGR00022	uncharacterized protein, YhcH/YjgK/YiaL family
TIGR00873	6-phosphogluconate dehydrogenase, decarboxylating
TIGR03618	PPOX class probable F420-dependent enzyme
TIGR02564	CRISPR-associated protein, Csy1 family
TIGR03586	pseudaminic acid synthase
TIGR03776	Rickettsial palindromic element RPE5 domain
TIGR00939	Nucleoside Transporter
TIGR02540	putative glutathione peroxidase Gpx7
TIGR01138	cysteine synthase B
TIGR02996	repeat-companion domain TIGR02996
TIGR00697	conserved hypothetical integral membrane protein
TIGR02231	conserved hypothetical protein
TIGR00775	Na+/H+ antiporter, NhaD family
TIGR00894	Na(+)-dependent inorganic phosphate cotransporter
TIGR03271	putative methanogenesis marker protein 5
TIGR02570	CRISPR-associated protein, GSU0053 family
TIGR03021	type IV pilus biogenesis protein PilP
TIGR00674	dihydrodipicolinate synthase
TIGR02855	sporulation peptidase YabG
TIGR01260	ATP synthase F0, C subunit
TIGR00237	exodeoxyribonuclease VII, large subunit
TIGR02539	Sep-tRNA:Cys-tRNA synthase
TIGR02450	tryptophan-rich conserved hypothetical protein
TIGR00731	ribosomal protein L25, Ctc-form
TIGR02908	cytochrome c oxidase, subunit IVB
TIGR01762	chlorinating enzymes
TIGR00968	sulfate ABC transporter, ATP-binding protein
TIGR00544	prolipoprotein diacylglyceryl transferase
TIGR02760	conjugative transfer relaxase protein TraI
TIGR01479	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
TIGR02007	ferredoxin, 2Fe-2S type, ISC system
TIGR03558	luciferase family oxidoreductase, group 1
TIGR02085	23S rRNA (uracil-5-)-methyltransferase RumB
TIGR02999	RNA polymerase sigma factor, TIGR02999 family
TIGR01539	phage portal protein, lambda family
TIGR02850	RNA polymerase sigma-G factor
TIGR02077	thr operon leader peptide
TIGR00558	pyridoxamine 5'-phosphate oxidase
TIGR03443	L-aminoadipate-semialdehyde dehydrogenase
TIGR01202	Chlorophyll synthesis pathway, bchC
TIGR01853	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
TIGR01713	general secretion pathway protein C
TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
TIGR03878	KaiC domain protein, AF_0795 family
TIGR02245	HAD hydrolase, family IIID
TIGR03645	lactoylglutathione lyase family protein
TIGR02292	yecA family protein
TIGR01845	efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
TIGR02911	sulfite reductase, subunit B
TIGR01946	electron transport complex, RnfABCDGE type, D subunit
TIGR02581	CRISPR-associated RAMP protein, SSO1426 family
TIGR01830	3-oxoacyl-[acyl-carrier-protein] reductase
TIGR02456	trehalose synthase
TIGR03388	L-ascorbate oxidase
TIGR03742	PRTRC system protein F
TIGR00380	cobalamin biosynthesis protein CobD
TIGR00342	thiamine biosynthesis/tRNA modification protein ThiI
TIGR01323	nitrile hydratase, alpha subunit
TIGR00223	aspartate 1-decarboxylase
TIGR02622	CDP-glucose 4,6-dehydratase
TIGR00816	C4-dicarboxylate transporter/malic acid transport protein
TIGR01290	nitrogenase cofactor biosynthesis protein NifB
TIGR00687	pyridoxal kinase
TIGR03635	30S ribosomal protein S17
TIGR00219	rod shape-determining protein MreC
TIGR00616	recombinase, phage RecT family
TIGR00228	crossover junction endodeoxyribonuclease RuvC
TIGR02603	putative heme-binding domain
TIGR02642	uncharacterized phage protein
TIGR01605	Plasmodium yoelii subtelomeric family PYST-D
TIGR02444	conserved hypothetical protein TIGR02444
TIGR02937	RNA polymerase sigma factor, sigma-70 family
TIGR02311	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
TIGR01298	ribonuclease T
TIGR01700	purine nucleoside phosphorylase I, inosine and guanosine-specific
TIGR03881	KaiC domain protein, PAE1156 family
TIGR01987	nucleotidyltransferase substrate binding protein, HI0074 family
TIGR03571	luciferase-type oxidoreductase, BA3436 family
TIGR01011	ribosomal protein S2
TIGR03637	CRISPR-associated endonuclease Cas1, YPEST subtype
TIGR02357	probable proton-coupled thiamine transporter YuaJ
TIGR03198	xanthine dehydrogenase E subunit
TIGR03353	type VI secretion protein, VC_A0114 family
TIGR01248	daunorubicin resistance protein C
TIGR03043	photosystem II core protein PsbZ
TIGR00369	uncharacterized domain 1
TIGR01658	EYA conserved domain
TIGR00784	citrate transporter
TIGR03651	circular bacteriocin, circularin A/uberolysin family
TIGR03627	archaeal ribosomal protein S9P
TIGR03870	methanol oxidation system protein MoxJ
TIGR01793	citrate (Si)-synthase, eukaryotic
TIGR00538	oxygen-independent coproporphyrinogen III oxidase
TIGR01042	V-type ATPase, A subunit
TIGR01562	formate dehydrogenase accessory protein FdhE
TIGR00323	putative translation initiation factor eIF-6
TIGR03706	exopolyphosphatase
TIGR00253	putative RNA-binding protein, YhbY family
TIGR03875	RNA ligase partner, MJ_0950 family
TIGR00518	alanine dehydrogenase
TIGR03048	photosystem I iron-sulfur protein PsaC
TIGR03433	transcriptional regulator, Acidobacterial, PadR-family
TIGR01070	DNA mismatch repair protein MutS
TIGR00973	2-isopropylmalate synthase
TIGR02158	phenylacetate-CoA oxygenase, PaaI subunit
TIGR01942	poly(A) polymerase
TIGR02024	glutamate formiminotransferase
TIGR00555	pantothenate kinase
TIGR01588	citrate (pro-3S)-lyase, beta subunit
TIGR00857	dihydroorotase, multifunctional complex type
TIGR00690	DNA-directed RNA polymerase, omega subunit
TIGR01741	conserved hypothetical protein
TIGR00732	DNA protecting protein DprA
TIGR01811	succinate dehydrogenase or fumarate reductase, flavoprotein subunit
TIGR01800	2-methylcitrate synthase/citrate synthase II
TIGR02921	PEP-CTERM family integral membrane protein
TIGR02655	circadian clock protein KaiC
TIGR01842	type I secretion system ATPase
TIGR01010	polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family
TIGR03553	F420 biosynthesis protein FbiB, C-terminal domain
TIGR02161	periplasmic nitrate (or nitrite) reductase c-type cytochrome, NapC/NirT family
TIGR01959	NADH oxidoreductase (quinone), F subunit
TIGR00741	ribosomal subunit interface protein
TIGR03739	PRTRC system protein D
TIGR00089	RNA modification enzyme, MiaB family
TIGR00581	molybdenum cofactor biosynthesis protein C
TIGR00804	nucleoside transporter, NupC family
TIGR03063	sortase B cell surface sorting signal
TIGR01307	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
TIGR01061	DNA topoisomerase IV, A subunit
TIGR03506	fagellar hook-basal body proteins
TIGR02516	type III secretion outer membrane pore, YscC/HrcC family
TIGR02834	putative sporulation protein YtxC
TIGR01939	NADH:ubiquinone oxidoreductase, Na(+)-translocating, D subunit
TIGR00641	methylmalonyl-CoA mutase N-terminal domain
TIGR01732	conserved hypothetical protein
TIGR00043	metalloprotein, YbeY/ UPF0054family
TIGR01284	nitrogenase alpha chain
TIGR03820	lysine-2,3-aminomutase
TIGR02211	lipoprotein releasing system, ATP-binding protein
TIGR02445	acetyl-CoA C-acyltransferase FadA
TIGR00547	outer membrane lipoprotein carrier protein LolA
TIGR02511	type III secretion effector delivery regulator, TyeA family
TIGR03454	plasmid partitioning protein RepB
TIGR01225	histidine ammonia-lyase
TIGR01928	o-succinylbenzoic acid (OSB) synthetase
TIGR01663	polynucleotide kinase 3'-phosphatase
TIGR02163	ferredoxin-type protein, NapH/MauN family
TIGR02308	RNA ligase, T4 RnlA family
TIGR03613	pyrimidine utilization regulatory protein R
TIGR00746	carbamate kinase
TIGR02117	conserved hypothetical protein
TIGR03025	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
TIGR01149	tetrahydromethanopterin S-methyltransferase, subunit G
TIGR00381	CO dehydrogenase/acetyl-CoA synthase, delta subunit
TIGR00355	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR02897	cytochrome aa3 quinol oxidase, subunit III
TIGR02653	conserved hypothetical protein
TIGR00410	PTS system, lactose/cellobiose family IIC component
TIGR03212	putative urate catabolism protein
TIGR03713	accessory Sec system protein Asp1
TIGR01485	sucrose phosphatase
TIGR00663	DNA polymerase III, beta subunit
TIGR02258	2'-5' RNA ligase
TIGR01902	N-acetyl-ornithine/N-acetyl-lysine deacetylase
TIGR00054	RIP metalloprotease RseP
TIGR00982	ribosomal protein S23 (S12)
TIGR03774	Rickettsial palindromic element RPE2 domain
TIGR03131	malonate decarboxylase, epsilon subunit
TIGR00622	transcription factor ssl1
TIGR03347	type VI secretion protein, VC_A0111 family
TIGR02100	glycogen debranching enzyme GlgX
TIGR02126	phage major tail protein, TP901-1 family
TIGR00162	conserved hypothetical protein TIGR00162
TIGR01423	trypanothione-disulfide reductase
TIGR02004	PTS system, maltose and glucose-specific IIBC component
TIGR02876	sporulation protein YqfD
TIGR00185	RNA methyltransferase, TrmH family, group 2
TIGR02535	proposed homoserine kinase
TIGR02093	glycogen/starch/alpha-glucan phosphorylases
TIGR00357	methionine-R-sulfoxide reductase
TIGR00838	argininosuccinate lyase
TIGR00628	uracil-DNA glycosylase
TIGR00846	calcium/proton exchanger
TIGR03531	O-phosphoseryl-tRNA(Sec) selenium transferase
TIGR02040	transcriptional regulator PpsR
TIGR00638	molybdenum-pterin binding domain
TIGR02904	spore coat protein YsxE
TIGR01427	PTS system, Fru family, IIC component
TIGR03082	membrane protein AbrB duplication
TIGR00421	polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases
TIGR01007	capsular exopolysaccharide family
TIGR01569	plant integral membrane protein TIGR01569
TIGR02950	RNA polymerase sigma factor, SigM family
TIGR02066	sulfite reductase, dissimilatory-type beta subunit
TIGR02414	aminopeptidase N
TIGR02602	eight transmembrane protein EpsH (proposed exosortase)
TIGR00520	L-asparaginases, type II
TIGR01251	ribose-phosphate diphosphokinase
TIGR00245	conserved hypothetical protein TIGR00245
TIGR01160	translation initiation factor SUI1
TIGR03279	putative FeS-containing Cyanobacterial-specific oxidoreductase
TIGR03634	proteasome endopeptidase complex, archaeal, beta subunit
TIGR00513	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit
TIGR00854	PTS system, mannose/fructose/sorbose family, IIB component
TIGR01399	type III secretion protein, HrcV family
TIGR02873	probable sporulation protein, polysaccharide deacetylase family
TIGR01443	intein C-terminal splicing region
TIGR03527	selenium metabolism protein YedF
TIGR02656	plastocyanin
TIGR02886	anti-sigma F factor antagonist
TIGR01436	glutamate--cysteine ligase
TIGR03089	conserved hypothetical protein TIGR03089
TIGR02639	ATP-dependent Clp protease ATP-binding subunit ClpA
TIGR02604	putative membrane-bound dehydrogenase domain
TIGR01795	chorismate mutase
TIGR00585	DNA mismatch repair protein MutL
TIGR01839	poly(R)-hydroxyalkanoic acid synthase, class II
TIGR02224	tyrosine recombinase XerC
TIGR01986	glutathione synthetase
TIGR03204	pimeloyl-CoA dehydrogenase, large subunit
TIGR01911	HesB-like selenoprotein
TIGR02275	(2,3-dihydroxybenzoyl)adenylate synthase
TIGR02396	rpsU-divergently transcribed protein
TIGR02039	sulfate adenylyltransferase, small subunit
TIGR02572	type III secretion system regulator LcrR
TIGR03026	nucleotide sugar dehydrogenase
TIGR03039	photosystem II chlorophyll-binding protein CP47
TIGR01710	general secretion pathway protein G
TIGR02859	RNA polymerase sigma-H factor
TIGR03685	50S ribosomal protein L12P
TIGR02774	ATP-dependent nuclease subunit B
TIGR00025	ABC transporter efflux protein, DrrB family
TIGR03769	actinobacterial surface-anchored protein domain
TIGR03144	cytochrome c-type biogenesis protein CcsB
TIGR01372	sarcosine oxidase, alpha subunit family
TIGR01383	DJ-1 family protein
TIGR02779	DNA polymerase LigD, ligase domain
TIGR00652	diaminopimelate epimerase
TIGR02401	malto-oligosyltrehalose synthase
TIGR02820	S-(hydroxymethyl)glutathione synthase
TIGR00570	CDK-activating kinase assembly factor MAT1
TIGR02436	conserved hypothetical protein TIGR02436
TIGR01789	lycopene cyclase
TIGR00028	Mycobacterium tuberculosis PIN domain family
TIGR01314	gluconate kinase
TIGR01168	Gram-positive signal peptide, YSIRK family
TIGR03842	F420-dependent oxidoreductase, CPS_4043 family
TIGR01704	MTA/SAH nucleosidase
TIGR03678	bacteriocin leader peptide, microcyclamide/patellamide family
TIGR00832	arsenical-resistance protein
TIGR02242	phage tail protein domain
TIGR02783	P-type conjugative transfer protein TrbL
TIGR01720	non-ribosomal peptide synthase domain TIGR01720
TIGR02869	spore cortex-lytic enzyme
TIGR01406	DNA polymerase III, epsilon subunit
TIGR02266	Myxococcus xanthus paralogous domain TIGR02266
TIGR01263	4-hydroxyphenylpyruvate dioxygenase
TIGR01587	CRISPR-associated helicase Cas3
TIGR00425	putative rRNA pseudouridine synthase
TIGR03037	3-hydroxyanthranilate 3,4-dioxygenase
TIGR03536	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR02278	phenylacetic acid degradation protein paaN
TIGR00962	ATP synthase F1, alpha subunit
TIGR02020	2-vinyl bacteriochlorophyllide hydratase
TIGR00073	hydrogenase accessory protein HypB
TIGR03549	conserved hypothetical protein TIGR03549
TIGR02306	RNA ligase, DRB0094 family
TIGR00948	L-lysine exporter
TIGR02939	RNA polymerase sigma factor RpoE
TIGR00974	phosphate ABC transporter, permease protein PstA
TIGR03705	polyphosphate kinase 1
TIGR01006	polysaccharide export protein, MPA1 family
TIGR01936	NADH:ubiquinone oxidoreductase, Na(+)-translocating, A subunit
TIGR03108	exosortase 1 system-associated amidotransferase 1
TIGR01988	ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family
TIGR03588	UDP-4-keto-6-deoxy-N-acetylglucosamine 4-aminotransferase
TIGR00613	DNA repair protein RecO
TIGR02041	sulfite reductase (NADPH) hemoprotein, beta-component
TIGR03660	T1SS-143 repeat domain
TIGR00218	mannose-6-phosphate isomerase, class I
TIGR02151	isopentenyl-diphosphate delta-isomerase, type 2
TIGR00757	ribonuclease, Rne/Rng family
TIGR03330	S-adenosylmethionine decarboxylase proenzyme
TIGR01269	tyrosine 3-monooxygenase
TIGR03414	choline ABC transporter, periplasmic binding protein
TIGR01575	ribosomal-protein-alanine acetyltransferase
TIGR03640	CRISPR-associated endonuclease Cas1, DVULG subtype
TIGR00512	S-methyl-5-thioribose-1-phosphate isomerase
TIGR01122	branched-chain amino acid aminotransferase
TIGR02864	small, acid-soluble spore protein O
TIGR00621	single-strand binding protein
TIGR00003	copper ion binding protein
TIGR00496	ribosome recycling factor
TIGR00117	aconitate hydratase 2
TIGR01533	5'-nucleotidase, lipoprotein e(P4) family
TIGR00744	ROK family protein (putative glucokinase)
TIGR02111	coenzyme PQQ biosynthesis protein C
TIGR00636	ATP:cob(I)alamin adenosyltransferase
TIGR01882	peptidase T
TIGR03071	HipA N-terminal domain
TIGR00607	recombination protein rad52
TIGR02829	stage III sporulation protein AE
TIGR01475	putative 4-hydroxybenzoate polyprenyltransferase
TIGR00130	coenzyme F420-reducing hydrogenase,  FrhD protein
TIGR00351	respiratory nitrate reductase, gamma subunit
TIGR01780	succinate-semialdehyde dehydrogenase
TIGR03662	Chlor_Arch_YYY domain
TIGR00385	periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily
TIGR03559	probable F420-dependent oxidoreductase, Rv3520c family
TIGR03165	F1/F0 ATPase, Methanosarcina type, subunit 2
TIGR01666	hypothetical membrane protein, TIGR01666
TIGR03403	cysteine desulfurase, NifS family
TIGR01912	Sec-independent protein translocase TatC
TIGR00877	phosphoribosylamine--glycine ligase
TIGR03690	proteasome, beta subunit
TIGR02702	iron-sulfur cluster biosynthesis transcriptional regulator SufR
TIGR02321	phosphonopyruvate hydrolase
TIGR00262	tryptophan synthase, alpha subunit
TIGR00154	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
TIGR03849	phosphosulfolactate synthase
TIGR02406	L-2,4-diaminobutyric acid acetyltransferase
TIGR01200	Porphyromonas gingivalis paralogous family TIGR01200
TIGR01044	ribosomal protein L22
TIGR00483	translation elongation factor EF-1, subunit alpha
TIGR00716	ribonuclease HIII
TIGR02082	methionine synthase
TIGR01930	acetyl-CoA C-acetyltransferase
TIGR01552	prevent-host-death family protein
TIGR00286	arginine decarboxylase, pyruvoyl-dependent
TIGR00619	exonuclease SbcCD, D subunit
TIGR03045	cytochrome c-550
TIGR02015	chlorophyllide reductase subunit Y
TIGR00825	PTS system, glucitol/sorbitol-specific, IIBC component
TIGR03466	hopanoid-associated sugar epimerase
TIGR02543	Listeria/Bacterioides repeat
TIGR01184	nitrate ABC transporter, ATP-binding proteins C and D
TIGR03261	putative 2-aminoethylphosphonate ABC transporter, periplasmic 2-aminoethylphosphonate-binding protein
TIGR02736	cytochrome c oxidase, cbb3-type, CcoQ subunit
TIGR02766	cryptochrome, plant family
TIGR03615	pyrimidine utilization flavin reductase protein F
TIGR03051	photosystem I reaction center subunit V
TIGR00928	adenylosuccinate lyase
TIGR02757	conserved hypothetical protein TIGR02757
TIGR02610	putative polyhydroxyalkanoic acid system protein
TIGR00476	selenide, water dikinase
TIGR00233	tryptophan--tRNA ligase
TIGR02812	fatty acid metabolism transcriptional regulator FadR
TIGR01439	transcriptional regulator, AbrB family
TIGR03371	cellulose synthase operon protein YhjQ
TIGR02841	putative sporulation protein YyaC
TIGR01685	magnesium-dependent phosphatase-1
TIGR03056	putative magnesium chelatase accessory protein
TIGR02765	cryptochrome, DASH family
TIGR03006	polysaccharide deactylase family protein, PEP-CTERM locus subfamily
TIGR01144	ATP synthase F0, B subunit
TIGR02694	arsenite oxidase, small subunit
TIGR01725	phage protein, HK97 gp10 family
TIGR02184	Mycoplasma virulence family signal region
TIGR03170	flagella basal body P-ring formation protein FlgA
TIGR03241	succinylarginine dihydrolase
TIGR01849	polyhydroxyalkanoate depolymerase, intracellular
TIGR03500	flagellar biosynthetic protein FliO
TIGR03516	peptidyl-prolyl isomerase, gliding motility-associated
TIGR01630	phage uncharacterized protein, C-terminal domain
TIGR02042	sulfite reductase, ferredoxin dependent
TIGR00577	formamidopyrimidine-DNA glycosylase
TIGR03196	xanthine dehydrogenase D subunit
TIGR01716	transcriptional activator, Rgg/GadR/MutR family, C-terminal domain
TIGR03415	choline ABC transporter, ATP-binding protein
TIGR00827	PTS system, galactitol-specific IIC component
TIGR03290	CoB--CoM heterodisulfide reductase, subunit C
TIGR03526	putative selenium metabolism hydrolase
TIGR03442	conserved hypothetical protein TIGR03442
TIGR01620	conserved hypothetical protein TIGR01620
TIGR00254	diguanylate cyclase (GGDEF) domain
TIGR01874	CRISPR-associated protein Cas5, Apern subtype
TIGR01136	cysteine synthases
TIGR00666	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
TIGR01945	electron transport complex, RnfABCDGE type, C subunit
TIGR01455	phosphoglucosamine mutase
TIGR03276	phosphonate degradation operons associated HDIG domain protein
TIGR03605	SagB-type dehydrogenase domain
TIGR00995	chloroplast protein import component, Tic22 family
TIGR00978	aspartate-semialdehyde dehydrogenase
TIGR02553	type III effector protein IpaD/SipD/SspD
TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain
TIGR02202	Ehrlichia chaffeensis immunodominant surface protein repeat
TIGR00856	dihydroorotase, homodimeric type
TIGR01273	arginine decarboxylase
TIGR00947	probable bicarbonate transporter, IctB family
TIGR00911	L-type amino acid transporter
TIGR00595	primosomal protein N'
TIGR02463	mannosyl-3-phosphoglycerate phosphatase homolog
TIGR01619	conserved hypothetical protein TIGR01619
TIGR00488	putative HD superfamily hydrolase
TIGR00209	galactose-1-phosphate uridylyltransferase
TIGR01186	glycine betaine/L-proline transport ATP binding subunit
TIGR03467	squalene-associated FAD-dependent desaturase
TIGR02906	spore coat protein, CotS family
TIGR02408	ectoine hydroxylase
TIGR03533	protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific
TIGR02868	thiol reductant ABC exporter, CydC subunit
TIGR02932	V-containing nitrogenase, beta subunit
TIGR01028	ribosomal protein S7
TIGR01494	HAD ATPase, P-type, family IC
TIGR00133	glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, B subunit
TIGR02931	Fe-only nitrogenase, beta subunit
TIGR03319	conserved hypothetical protein YmdA/YtgF
TIGR01177	conserved hypothetical protein TIGR01177
TIGR01453	group I intron endonuclease
TIGR03236	dnd system-associated protein 1
TIGR01466	precorrin-3B C17-methyltransferase
TIGR03606	dehydrogenase, PQQ-dependent,  s-GDH family
TIGR02705	nucleoside triphosphatase YtkD
TIGR02665	molybdopterin-guanine dinucleotide biosynthesis protein A
TIGR03274	putative methanogenesis marker protein 7
TIGR01633	putative phage tail component, N-terminal domain
TIGR02462	pyranose oxidase
TIGR01448	helicase, RecD/TraA family
TIGR00844	sodium/hydrogen antiporter
TIGR00097	phosphomethylpyrimidine kinase
TIGR03545	conserved hypothetical protein TIGR03545
TIGR02494	glycyl-radical enzyme activating protein family
TIGR02771	conjugative transfer signal peptidase TraF
TIGR00644	single-stranded-DNA-specific exonuclease RecJ
TIGR03879	probable regulatory domain
TIGR02101	type III secretion target, IpaC/SipC family
TIGR01264	tyrosine aminotransferase
TIGR02764	polysaccharide deacetylase family sporulation protein PdaB
