	copy_number
Unclassified proteobacterium RUG520	0
Unclassified proteobacterium RUG774	1
Unclassified proteobacterium RUG399	0
Unclassified proteobacterium RUG585	1
Unclassified proteobacterium RUG797	0
Unclassified proteobacterium RUG791	0
Unclassified proteobacterium RUG636	1
Unclassified proteobacterium RUG686	0
Unclassified proteobacterium RUG731	0
Unclassified proteobacterium RUG347	0
Unclassified proteobacterium RUG065	1
Unclassified proteobacterium RUG653	1
Corticibacter populi DSM 105136	1
Lonepinella koalarum DSM 10053	2
Xylanibacterium ulmi DSM 16932	3
Promicromonospora sp. SLBN-65	3
Terrabacter sp. SLBN-196	3
Actinoallomurus bryophytorum DSM 102200	3
Rudaeicoccus suwonensis DSM 19560	2
Humibacillus xanthopallidus SLBN-155	2
Terrabacter sp. 3211	1
Terrabacter sp. 3264	2
Terrabacter lapilli 3265	3
Friedmanniella endophytica DSM 100723	0
Flexivirga oryzae DSM 105369	0
Inquilinus ginsengisoli 584	0
Kandleria vitulina RUG287	0
Allostreptomyces psammosilenae DSM 42178	7
Aeriscardovia aeriphila DSM 22365	0
Aurantimonas endophytica DSM 103570	1
Ammoniphilus oxalaticus RAOx-1	0
Mesonia hippocampi DSM 29568	2
Peptostreptococcus russellii RT-10B	8
Pararhizobium giardinii SEMIA 4084	1
Notoacmeibacter sp. M2BS9Y-3-1	2
Actinomycetospora corticicola DSM 45772	3
Pseudoclavibacter sp. JAI123	1
