	0
Xylella_fastidiosa_J1a12	2
Candidatus_Liberibacter_americanus_SPSA3	3
Rhizobium_sp._PDO1-076	1
Rhizobium_leguminosarum_bv._trifolii_TA1	2
Arthrobacter_sp._cp15	1
Paraburkholderia_unamae_MTI-641	31
Paraburkholderia_silvatlantica_SRMrh-20	13
Burkholderia_silvatlantica_PVA5	6
Caulobacter_sp._AP07	2
Novosphingobium_sp._AP12	2
Rhizobium_sp._AP16	1
Rhizobium_sp._CF80	1
Brevibacillus_sp._CF112	1
Rhizobium_sp._CF122	4
Rhizobium_sp._CF142	1
Chryseobacterium_sp._CF314	1
Acidovorax_sp._CF316	5
Polaromonas_sp._CF318	1
Herbaspirillum_sp._CF444	4
Pseudomonas_sp._GM102	1
Pseudomonas_sp._GM17	1
Pseudomonas_sp._GM18	1
Pseudomonas_sp._GM21	1
Pseudomonas_sp._GM25	1
Pseudomonas_sp._GM30	1
Pseudomonas_sp._GM33	1
Pseudomonas_sp._GM41(2012)	1
Pseudomonas_sp._GM48	1
Pseudomonas_sp._GM49	1
Pseudomonas_sp._GM50	1
Pseudomonas_sp._GM55	2
Pseudomonas_sp._GM60	1
Pseudomonas_sp._GM67	1
Pseudomonas_sp._GM74	1
Pseudomonas_sp._GM78	1
Pseudomonas_sp._GM79	1
Pseudomonas_sp._GM80	1
Pseudomonas_sp._GM84	1
Pantoea_sp._YR343	2
Herbaspirillum_sp._YR522	4
Phyllobacterium_sp._YR531	2
Bradyrhizobium_sp._YR681	2
Pseudomonas_sp._GM16	2
Pseudomonas_sp._GM24	1
Pantoea_sp._GM01	1
Sinorhizobium_meliloti_AK58	1
Klebsiella_oxytoca_KCTC_1686	8
Xanthomonas_campestris_pv._raphani_756C	2
Pseudomonas_fluorescens_F113	5
Pseudomonas_aeruginosa_M18	4
Candidatus_Tremblaya_princeps_PCVAL	2
Pseudomonas_chlororaphis_chlororaphis_GP72	1
Pseudoalteromonas_luteoviolacea_S4054	1
Paraburkholderia_tuberum_STM678	12
Sinorhizobium_arboris_LMG_14919	3
Arsenophonus_nasoniae_ArPv	0
Brevibacillus_sp._BC25	2
Sphingobium_sp._AP49	4
Paenibacillus_mucilaginosus_3016	14
Pseudomonas_cannabina_pv._alisalensis_PSa866	3
Pseudomonas_cannabina_pv._alisalensis_PSa1-3	8
Saccharibacillus_sacchari_DSM_19268	5
Mesorhizobium_loti_R7A	2
Mesorhizobium_loti_R88b	2
Sinorhizobium_medicae_WSM1115	3
Pseudomonas_syringae_pv._oryzae_1_6	1
Variovorax_sp._CF313	2
Flavobacterium_sp._CF136	1
Pseudomonas_aeruginosa_E2	1
Paraburkholderia_mimosarum_STM3621	2
Paraburkholderia_mimosarum_LMG_23256	1
Rhizobium_leguminosarum_bv._viciae_UPM1131	1
Rhizobium_leguminosarum_bv._viciae_UPM1137	1
Sinorhizobium_meliloti_MVII-I	1
Azorhizobium_doebereinerae_UFLA1-100	2
Rhizobium_mesoamericanum_STM6155	1
Sinorhizobium_medicae_DI28	1
Mesorhizobium_sp._WSM3224	2
Sinorhizobium_meliloti_RRI128	1
Bradyrhizobium_sp._WSM1743	1
Rhizobium_leguminosarum_bv._phaseoli_FA23	1
Bradyrhizobium_sp._WSM3983	1
Bradyrhizobium_diazoefficiens_USDA_122	1
Bradyrhizobium_elkanii_USDA_3259	1
Bradyrhizobium_elkanii_WSM2783	4
Bradyrhizobium_elkanii_WSM1741	1
Bradyrhizobium_japonicum_USDA_135	1
Rhizobium_leguminosarum_bv._viciae_VF39	1
Bradyrhizobium_sp._EC3.3	1
Alicyclobacillus_pomorum_DSM_14955	3
Xylella_fastidiosa_U24D	2
Xylella_fastidiosa_PR8X	2
Xylella_fastidiosa_HIB4	2
Bradyrhizobium_elkanii_USDA_94	1
Rhizobium_favelukesii_OR191	1
Bradyrhizobium_ottawaense_USDA_4	1
Sinorhizobium_meliloti_GVPV12	1
Bradyrhizobium_sp._TV2a.2	1
Sinorhizobium_meliloti_Mlalz-1	1
Bradyrhizobium_elkanii_USDA_3254	1
Rhizobium_mongolense_USDA_1844	1
Mesorhizobium_erdmanii_USDA_3471	2
Cupriavidus_taiwanensis_STM6018	2
Burkholderia_sp._WSM2230	2
Sinorhizobium_medicae_WSM1369	1
Rhizobium_giardinii_bv._giardinii_H152	1
Sinorhizobium_medicae_WSM244	1
Bradyrhizobium_sp._WSM2793	1
Rhizobium_leguminosarum_bv._viciae_GB30	1
Mesorhizobium_loti_CJ3sym	1
Cupriavidus_taiwanensis_STM6070	1
Flavobacteriaceae_bacterium_HQM9	1
Bacillus_sp._5B6	10
Mesorhizobium_amorphae_CCNWGS0123	1
Bradyrhizobium_sp._STM_3809	1
Mesorhizobium_alhagi_CCNWXJ12-2	1
Pantoea_strewartii_stewartii_DC283	6
Lactobacillus_mali_KCTC_3596	1
Lactobacillus_suebicus_KCTC_3549	1
Flavobacteriaceae_bacterium_S85	1
Sinorhizobium_fredii_USDA_257	3
Rhizobium_leguminosarum_bv._viciae_248	3
Frankia_discariae_BCU110501	2
Salinispora_arenicola_CNT800	4
Sinorhizobium_meliloti_4H41	1
Rhizobium_leguminosarum_bv._viciae_Vc2	1
Rhizobium_leguminosarum_bv._viciae_Vh3	0
Rhizobium_leguminosarum_bv._viciae_Ps8	0
Paraburkholderia_sp._JPY251	1
Paraburkholderia_symbiotica_JPY347	1
Salinispora_pacifica_CNS103	2
Rhizobium_gallicum_bv._gallicum_R602sp	1
Salinispora_arenicola_CNX482	4
Actinopolymorpha_alba_DSM_45243	2
Paraburkholderia_nodosa_DSM_21604	2
Salinispora_pacifica_CNT084	4
Salinispora_arenicola_CNR921	4
Ensifer_sp._BR816	3
Agrobacterium_albertimagni_AOL15	4
Sphingomonas_phyllosphaerae_FA2	2
Sinorhizobium_meliloti_BO21CC	3
Pseudomonas_fluorescens_PF5	7
Rhizobium_leguminosarum_bv._viciae_WSM1481	3
Rhizobium_leguminosarum_bv._phaseoli_4292	3
Rhizobium_leguminosarum_bv._trifolii_SRDI943	3
Bradyrhizobium_japonicum_USDA_124	1
Bacteroides_propionicifaciens_DSM_19291	1
Rhizobium_leguminosarum_bv._trifolii_SRDI565	3
Sinorhizobium_meliloti_WSM4191	3
Frankia_sp._DC12	3
Bradyrhizobium_elkanii_USDA_76	1
Bacillus_sp._105MF	9
Thermoanaerobacter_thermohydrosulfuricus_WC1	2
Pseudomonas_synxantha_DSM_13080	1
Ralstonia_solanacearum_FQY_4	4
Saccharibacter_floricola_DSM_15669	3
Actinomadura_flavalba_DSM_45200	1
Burkholderia_glumae_LMG_2196	1
Sinorhizobium_meliloti_CCNWSX0020	1
Bradyrhizobium_sp._ORS_375	1
Burkholderia_sp._KJ006	6
Xanthomonas_citri_pv._malvacearum_GSPB1386	1
Lactobacillus_parabrevis_ATCC_53295	4
Lactobacillus_florum_2F	0
Rhizobium_sp._Pop5	1
Flavobacterium_sp._F52	1
Serratia_plymuthica_A30	1
Pantoea_sp._Sc1	0
Pediococcus_acidilactici_MA18/5M	5
Stenotrophomonas_maltophilia_ATCC_19867	1
Herbaspirillum_sp._GW103	2
Methylobacterium_sp._285MFTsu5.1	2
Kushneria_aurantia_DSM_21353	1
Pannonibacter_phragmitetus_DSM_14782	2
Lactobacillus_helveticus_R0052	4
Liberibacter_crescens_BT-1	3
Dyadobacter_beijingensis_DSM_21582	5
Acetobacter_nitrogenifigens_DSM_23921	2
Azospirillum_halopraeferens_DSM_3675	5
Pleomorphomonas_oryzae_DSM_16300	4
Chryseobacterium_gregarium_DSM_19109	2
Alicyclobacillus_herbarius_DSM_13609	3
Pseudomonas_syringae_pv._syringae_B64	4
Clostridium_tyrobutyricum_DSM_2637	4
Lactobacillus_harbinensis_DSM_16991	4
Desulfovibrio_zosterae_DSM_11974	1
Chryseobacterium_palustre_DSM_21579	1
Paenibacillus_pinihumi_DSM_23905	8
Atopococcus_tabaci_DSM_17538	6
Cohnella_thermotolerans_DSM_17683	5
Rhizobium_tropici_CIAT899	3
Bradyrhizobium_sp._Cp5.3	1
Rathayibacter_toxicus_DSM_7488	2
Rhizobium_leucaenae_USDA_9039	1
Bradyrhizobium_sp._Ai1a-2	1
Bradyrhizobium_sp._Th.b2	1
Niveispirillum_irakense_DSM_11586	1
Bacteroides_graminisolvens_DSM_19988	2
Pseudomonas_syringae_CC1629	2
Pseudomonas_syringae_CC1630	1
Sporomusa_ovata_DSM_2662	9
Runella_zeae_DSM_19591	4
Pseudomonas_syringae_pv._syringae_SM	5
Streptomyces_sp._PgraA7	1
Deinococcus_ficus_DSM_19119	4
Xylella_fastidiosa_multiplex_ATCC_35871	1
Azovibrio_restrictus_DSM_23866	1
Burkholderia_sp._JPY366	1
Pectobacterium_parmentieri_SCC3193	7
Pseudomonas_chlororaphis_HT66	1
Frankia_casuarinae_Thr	1
Frankia_sp._BMG5.23	3
Bradyrhizobium_japonicum_USDA_123	1
Caulobacter_sp._JGI_0001010-J14_(contamination_screened)	1
Caulobacter_sp._JGI_0001013-O16_(contamination_screened)	1
Staphylococcus_sp._JGI_0001002-I23_(contamination_screened)	1
Actinokineospora_inagensis_DSM_44258	4
Rhizobium_etli_CNPAF512	0
Rhizobium_sp._CCGE_510	1
Xanthomonas_translucens_pv._translucens_DSM_18974	1
Stenotrophomonas_maltophilia_RA8	1
Candidatus_Burkholderia_kirkii_UZHbot1	5
Escherichia_coli_EC4421	1
Escherichia_coli_EC4422	1
Pseudomonas_viridiflava_UASWS0038	1
Methylobacterium_mesophilicum_SR1.6/6	1
Enterobacter_roggenkampii_SST3	1
Xanthomonas_citri_pv._punicae_LMG_859	1
Pseudomonas_syringae_pv._glycinea_B076	5
Serratia_plymuthica_PRI-2C	1
Pseudomonas_avellanae_BPIC_631	1
Pseudomonas_aeruginosa_E2	1
Brucella_suis_92/29	3
Rhizobium_grahamii_CCGE_502	2
Xylella_fastidiosa_EB92.1	1
Xanthomonas_fragariae_LMG_25863	1
Burkholderia_sp._TJI49	3
Xanthomonas_translucens_pv._graminis_ART-Xtg29	1
Pseudomonas_syringae_pv._avellanae_ISPaVe013	1
Pseudomonas_syringae_pv._avellanae_ISPaVe037	1
Streptococcus_mutans_5DC8	5
Lactobacillus_mali_KCTC_3596	1
Clostridium_saccharobutylicum_NCP_262,_DSM_13864	12
Agrobacterium_tumefaciens_Cherry_2E-2-2	1
Arthrobacter_crystallopoietes_BAB-32	1
Salmonella_enterica_enterica_sv._Newport_CVM_37978	1
Pectobacterium_wasabiae_CFBP_3304	6
Novosphingobium_sp._Rr_2-17	1
Streptomyces_ipomoeae_91-03	6
Ralstonia_solanacearum_K60	1
Rhodanobacter_spathiphylli_B39	1
Rhodanobacter_fulvus_Jip2	1
Pseudomonas_sp._TJI-51	1
Salmonella_enterica_enterica_sv._Newport_CVM_19536	4
Bacillus_mycoides_CER057	1
Bacillus_amyloliquefaciens_plantarum_M27	1
Bacillus_sp._M_2-6	1
Burkholderia_cepacia_Bu72	6
Salmonella_enterica_enterica_sv._Montevideo_80959-06	1
Herbaspirillum_frisingense_GSF30	1
Methylobacterium_sp._GXF4	1
Bacillus_subtilis_XF-1	9
Pseudomonas_poae_RE*1-1-14	5
Bacillus_amyloliquefaciens_Y2	9
Agrobacterium_larrymoorei_ATCC_51759	2
Streptomyces_turgidiscabies_Car8	6
Paenibacillus_alvei_A6-6i-x	0
Ralstonia_solanacearum_MolK2	1
Erwinia_tracheiphila_PSU-1	0
Enterococcus_saccharolyticus_ATCC_43076	7
Pseudomonas_syringae_BRIP34876	1
Pseudomonas_fluorescens_BRIP34879	1
Pseudomonas_syringae_BRIP34881	1
Pseudomonas_syringae_BRIP39023	1
Bacillus_atrophaeus_UCMB-5137_GCA_000385965	3
Pantoea_agglomerans_299R	0
Gluconobacter_thailandicus_NBRC_3255	1
Bacillus_amyloliquefaciens_EGD-AQ14	1
Phaseolibacter_flectens_ATCC_12775	1
Methylobacterium_sp._WSM2598	6
Enterococcus_saccharolyticus_ATCC_43076	1
Candidatus_Liberibacter_americanus_PW_SP	0
Burkholderia_vietnamiensis_AU4i	0
Frankia_sp._CcI6	3
Acidovorax_avenae_avenae_RS-1	0
Chromobacterium_sp._C-61	0
Ralstonia_solanacearum_Y45	3
Streptomyces_sp._TOR3209	1
Stenotrophomonas_maltophilia_RR-10	0
Xanthomonas_campestris_JX	1
Pseudomonas_geniculata_N1	1
Dickeya_solani_GBBC_2040	0
Kosakonia_sacchari_SP1	1
Methylobacterium_sp._L2-4	1
Escherichia_coli_EC4191	1
Acetobacter_aceti_NBRC_14818	2
Enterobacter_mori_LMG_25706	3
Acidovorax_radicis_N35	2
Acidovorax_radicis_N35v	2
Enterobacter_sp._MR1	5
Nocardia_nova_SH22a	3
Azospira_oryzae_6a3	1
Xanthomonas_oryzae_X11-5A	1
Xanthomonas_oryzae_X8-1A	1
Paenibacillus_riograndensis_SBR5	1
Xanthomonas_campestris_pv._musacearum_'Kenyan'	2
Xanthomonas_campestris_pv._musacearum_NCPPB_2005	1
Xanthomonas_campestris_pv._musacearum_NCPPB_4380	1
Xanthomonas_campestris_pv._musacearum_NCPPB_4379_GCA_000277895.1	1
Xanthomonas_campestris_pv._musacearum_NCPPB_4394	1
Xanthomonas_campestris_pv._musacearum_NCPPB_4384	1
Pseudomonas_syringae_pv._actinidiae_CFBP_7286	1
Pseudomonas_syringae_pv._theae_NCPPB_2598	1
Pseudomonas_syringae_pv._actinidiae_ICMP_9853	2
Pseudomonas_syringae_pv._actinidiae_ICMP_18708	4
Pseudomonas_syringae_pv._actinidiae_ICMP_18744	3
Pseudomonas_syringae_pv._actinidiae_ICMP_18800	2
Pseudomonas_syringae_pv._actinidiae_KW41	3
Pseudomonas_syringae_pv._actinidiae_PA459	1
Pseudomonas_syringae_ICMP_18804	1
Pseudomonas_syringae_pv._actinidiae_TP6-1	3
Pseudomonas_syringae_ICMP_18806	1
Pseudomonas_syringae_pv._actinidiae_TP1	2
Pseudomonas_syringae_pv._actinidiae_Shaanxi_M228_GCA_000344475	1
Pseudomonas_syringae_pv._actinidiae_Shaanxi_M7	3
Pseudomonas_syringae_pv._actinidiae_CH2010-6	1
Ralstonia_solanacearum_FJAT-91	5
Ralstonia_solanacearum_FJAT-1458	5
Brevibacillus_brevis_FJAT-0809-GLX	0
Pseudomonas_syringae_pv._phaseolicola_1644R	3
Xanthomonas_sp._NCPPB_1131	0
Xanthomonas_sp._NCPPB_1132	1
Paenibacillus_sp._Aloe-11	4
Xanthomonas_vasicola_pv._vasculorum_NCPPB_1326	4
Xanthomonas_vasicola_pv._vasculorum_NCPPB_206	1
Lactobacillus_vini_DSM_20605	3
Sphingomonas_wittichii_DP58	1
Pseudomonas_sp._R81	1
Pseudomonas_sp._R62	1
Pseudomonas_fuscovaginae_UPB0736	1
Herbaspirillum_lusitanum_P6-12	1
Xanthomonas_arboricola_pv._juglandis_NCPPB_1447	1
Paenibacillus_sonchi_X19-5	2
Rickettsia_conorii_caspia_A-167	1
Pseudomonas_fuscovaginae_CB98818	3
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2345	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_1182	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_1411	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_1994	1
Xanthomonas_citri_pv._glycines_12-2	1
Xanthomonas_axonopodis_pv._manihotis_CIO1	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_285	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2821	1
Xanthomonas_axonopodis_pv._manihotis_UA303	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2670	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2666	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_280	1
Xanthomonas_axonopodis_pv._manihotis_UA536	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2819	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2816	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2665	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2667	1
Xanthomonas_axonopodis_pv._manihotis_UA324	1
Xanthomonas_axonopodis_pv._manihotis_ORST_X27	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2820	1
Xanthomonas_axonopodis_pv._manihotis_NCPPB_1159	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2673	1
Mesoplasma_seiffertii_ATCC_49495	3
Xanthomonas_axonopodis_pv._manihotis_IBSBF_278	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2538	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2672	1
Xanthomonas_axonopodis_pv._manihotis_UA226	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2818	1
Xanthomonas_axonopodis_pv._manihotis_ThaiXam	2
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2346	1
Xanthomonas_axonopodis_pv._manihotis_IBSBF_2539	1
Xanthomonas_axonopodis_pv._manihotis_ORST17	1
Xanthomonas_axonopodis_pv._manihotis_UA306	1
Xanthomonas_axonopodis_pv._manihotis_UA556	1
Xanthomonas_axonopodis_pv._manihotis_Xam672	1
Xanthomonas_axonopodis_pv._manihotis_Xam678	1
Xanthomonas_vasicola_pv._vasculorum_Hayward_B370,_NCPPB_895	1
Xanthomonas_axonopodis_pv._manihotis_Xam1134	1
Xanthomonas_axonopodis_pv._manihotis_UA686	1
Xanthomonas_axonopodis_pv._manihotis_UG28	2
Xanthomonas_campestris_pv._musacearum_NCPPB_4392	2
Xanthomonas_vasicola_pv._vasculorum_Hayward_B324,_NCPPB_890	4
Xanthomonas_axonopodis_pv._manihotis_UG45	1
Xanthomonas_axonopodis_pv._manihotis_UA560	1
Xanthomonas_axonopodis_pv._manihotis_UG51	1
Xanthomonas_axonopodis_pv._manihotis_Xam668	1
Xanthomonas_axonopodis_pv._manihotis_UG21	1
Xanthomonas_axonopodis_pv._manihotis_AFNC1360	1
Gluconobacter_frateurii_NBRC_101659	1
Sinorhizobium_meliloti_5A14	8
Sinorhizobium_meliloti_AE608H	6
Sinorhizobium_meliloti_AK11	4
Sinorhizobium_meliloti_A0643DD	3
Sinorhizobium_meliloti_1A42	2
Sinorhizobium_meliloti_A0641M	3
Sinorhizobium_meliloti_C0431A	2
Sinorhizobium_meliloti_AK75	3
Sinorhizobium_meliloti_C0438LL	3
Arthrobacter_sp._M2012083	1
Microbacterium_barkeri_2011-R4	1
Cupriavidus_basilensis_B-8	3
Pandoraea_sp._B-6	2
Sinorhizobium_meliloti_H1	3
Nocardia_tenerifensis_NBRC_101015	1
Acinetobacter_sp._GG2	1
Xanthomonas_cassavae_CFBP_4642	1
Dickeya_solani_IPO_2222	0
Dickeya_dianthicola_GBBC_2039	2
Dickeya_dianthicola_NCPPB_453	2
Dickeya_solani_MK10	0
Dickeya_dianthicola_IPO_980	1
Dickeya_dianthicola_NCPPB_3534	10
Vibrio_sp._712i1	1
Herbaspirillum_seropedicae_Os45	1
Vibrio_sp._624788	3
Pseudomonas_sp._313	2
Staphylococcus_sp._E463	3
Herbaspirillum_seropedicae_Os34	1
Acidovorax_citrulli_ZJU1106	2
Pantoea_sp._A4	1
Xanthomonas_sp._SHU166	1
Xanthomonas_sp._SHU199	1
Xanthomonas_sp._SHU308	1
Bacillus_sp._WBUNB004	15
Paraburkholderia_kururiensis_M130	4
Rhodopseudomonas_sp._B29	1
Erwinia_toletana_DAPP-PG_735	1
Novosphingobium_sp._B-7	6
Xanthomonas_arboricola_pv._corylina_NCCB_100457	2
Comamonas_sp._B-9	3
Agrobacterium_tumefaciens_WRT31	5
Streptomyces_violaceusniger_SPC6	7
Xanthomonas_citri_pv._malvacearum_X20	1
Xanthomonas_citri_pv._malvacearum_X18	1
Clostridium_tyrobutyricum_DSM_2637	1
Clostridium_tyrobutyricum_DSM_2637	1
Clostridium_diolis_DSM_15410	6
Dickeya_zeae_MS1	2
Pseudomonas_aeruginosa_PGPR2	4
Pectobacterium_atrosepticum_CFBP_6276	7
Pseudomonas_fuscovaginae_SE-1	1
Ralstonia_solanacearum_SD54	1
Pseudomonas_avellanae_BPIC_631	1
Arthrobacter_sp._PAO19	1
Pseudomonas_putida_MTCC_5279	1
Klebsiella_michiganensis_SA2	1
Bacillus_safensis_VK	1
Pseudomonas_syringae_pv._theae_NCPPB_2598	2
Pseudomonas_protegens_CHA0	5
Salmonella_enterica_enterica_sv._Thompson_RM6836	7
Sporolactobacillus_laevolacticus_DSM_442	1
Franconibacter_pulveris_DSM_19144	6
Zymobacter_palmae_DSM_10491	1
Pseudomonas_fulva_DSM_17717	2
Simplicispira_psychrophila_DSM_11588	1
Pseudomonas_corrugata_CFBP5454	1
Sinorhizobium_sp._PC2	4
Pseudonocardia_acaciae_DSM_45401	3
Dickeya_zeae_NCPPB_2538	1
Agrobacterium_tumefaciens_P4	5
Salmonella_enterica_enterica_sv._Newport_#11-2	3
Salmonella_enterica_enterica_sv._Typhimurium_36618	3
Salmonella_enterica_enterica_sv._Agona_266757-1	3
Salmonella_enterica_enterica_sv._Agona_409753-6	2
Salmonella_enterica_enterica_sv._Senftenberg_604314	1
Rhizobium_undicola_ATCC_700741	2
Pseudomonas_fluorescens_A506	6
Solibacillus_silvestris_StLB046	12
Xanthomonas_citri_citri_Aw	2
Sinorhizobium_meliloti_Rm41	3
Enterobacter_sp._R4-368	9
Ralstonia_solanacearum_CMR15	4
Ralstonia_solanacearum_CFBP2957	3
Exiguobacterium_aurantiacum_DSM_6208	9
Burkholderia_sp._BT03	0
Rhizobium_sp._CF080	0
Xanthomonas_albilineans_GPE_PC73	2
Pseudomonas_corrugata_TEIC1148	1
Pseudomonas_mediterranea_TEIC1022	1
Pseudomonas_mediterranea_CFBP5404	1
Pseudomonas_corrugata_CFBP5403	1
Pseudomonas_mediterranea_TEIC1105	1
Pseudomonas_corrugata_NCPPB2445	1
Pseudomonas_mediterranea_CFBP5444	1
Entomoplasma_melaleucae_ATCC_49191	3
Listeria_monocytogenes_J1-220	6
Pseudomonas_syringae_pv._actinidiae_CRAFRU8.43	1
Pseudomonas_syringae_pv._actinidiae_NCPPB_3739	1
Paenibacillus_pini_JCM_16418	1
Pseudomonas_syringae_pv._syringae_B301D-R	1
Pseudomonas_syringae_pv._actinidiae_ICMP_19072	1
Pseudomonas_syringae_pv._actinidiae_ICMP_18886	1
Pseudomonas_syringae_pv._actinidia_ICMP_18801	1
Pseudomonas_syringae_pv._actinidia_ICMP_18883	1
Pseudomonas_syringae_pv._actinidia_ICMP_190101	1
Pseudomonas_syringae_pv._actinidia_ICMP_19094	1
Pseudomonas_syringae_pv._actinidia_ICMP_19095	1
Pseudomonas_syringae_pv._actinidia_ICMP_19097	1
Pseudomonas_syringae_pv._actinidia_ICMP_19098	1
Pseudomonas_syringae_pv._actinidia_ICMP_19100	1
Pseudomonas_syringae_pv._actinidia_ICMP_9855	0
Pseudomonas_syringae_pv._actinidiae_ICMP_19103	1
Pseudomonas_syringae_pv._actinidiae_ICMP_19073	1
Pseudomonas_syringae_pv._actinidiae_ICMP_19071	1
Pseudomonas_syringae_pv._actinidiae_ICMP_19068	1
Pseudomonas_syringae_pv._actinidiae_ICMP_19104	0
Pseudomonas_syringae_pv._theae_ICMP_3923	1
Pseudomonas_syringae_pv._actinidiae_ICMP_19102	0
Lactobacillus_fabifermentans_DSM_21115	1
Xylella_fastidiosa_32	1
Pseudomonas_syringae_pv._actinidiae_ICMP_19439	4
Vibrio_rhizosphaerae_DSM_18581	2
Pseudomonas_syringae_pv._actinidiae_ICMP_19455	4
Salmonella_enterica_enterica_sv._Bareilly_CFSAN000197	4
Pseudomonas_putida_LF54	9
Lactobacillus_paracasei_paracasei_CNCM_I-2877	1
Lactobacillus_paracasei_paracasei_Lpp189	1
Lactobacillus_paracasei_paracasei_Lpp46	1
Lactobacillus_paracasei_paracasei_Lpp49	1
Lactobacillus_paracasei_tolerans_Lpl14	1
Lysobacter_oryzae_DSM_21044	4
Rhodococcus_sp._P27	0
Pseudomonas_putida_S610	5
Enterobacter_cloacae_S611	2
Leeuwenhoekiella_sp._MAR_2009_132	9
Brenneria_alni_DSM_11811	2
Brenneria_nigrifluens_DSM_30175	2
