PFAM_ACC	PFAM_Name	PFAM_desc
pfam10588	NADH-G_4Fe-4S_3	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
pfam00384	Molybdopterin	Molybdopterin oxidoreductase
pfam09326	NADH_dhqG_C	NADH-ubiquinone oxidoreductase subunit G, C-terminal
pfam05071	NDUFA12	NADH ubiquinone oxidoreductase subunit NDUFA12
pfam01257	2Fe-2S_thioredx	Thioredoxin-like [2Fe-2S] ferredoxin
pfam00329	Complex1_30kDa	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
pfam00346	Complex1_49kDa	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
pfam15879	MWFE	NADH-ubiquinone oxidoreductase MWFE subunit
pfam10276	zf-CHCC	Zinc-finger domain
pfam14987	NADHdh_A3	NADH dehydrogenase 1 alpha subcomplex subunit 3
pfam12838	Fer4_7	4Fe-4S dicluster domain
pfam06212	GRIM-19	GRIM-19 protein
pfam14813	NADH_B2	NADH dehydrogenase 1 beta subcomplex subunit 2
pfam08122	NDUF_B12	NADH-ubiquinone oxidoreductase B12 subunit family
pfam09781	NDUF_B5	NADH:ubiquinone oxidoreductase, NDUFB5/SGDH subunit
pfam09782	NDUF_B6	NADH:ubiquinone oxidoreductase, NDUFB6/B17 subunit
pfam05821	NDUF_B8	NADH-ubiquinone oxidoreductase ASHI subunit (CI-ASHI or NDUFB8)
pfam10249	NDUFB10	NADH-ubiquinone oxidoreductase subunit 10
pfam10183	ESSS	ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)
pfam15088	NADH_dh_m_C1	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial
pfam06374	NDUF_C2	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)
pfam10200	Ndufs5	NADH:ubiquinone oxidoreductase, NDUFS5-15kDa
pfam00361	Proton_antipo_M	Proton-conducting membrane transporter
pfam06444	NADH_dehy_S2_C	NADH dehydrogenase subunit 2 C-terminus
pfam00507	Oxidored_q4	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
pfam00420	Oxidored_q2	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
pfam00662	Proton_antipo_N	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
pfam06455	NADH5_C	NADH dehydrogenase subunit 5 C-terminus
pfam00499	Oxidored_q3	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
pfam08040	NADH_oxidored	MNLL subunit
pfam07225	NDUF_B4	NADH-ubiquinone oxidoreductase B15 subunit (NDUFB4)
pfam05347	Complex1_LYR	Complex 1 protein (LYR family)
pfam01059	Oxidored_q5_N	NADH-ubiquinone oxidoreductase chain 4, amino terminus
pfam00146	NADHdh	NADH dehydrogenase
pfam06747	CHCH	CHCH domain
pfam05676	NDUF_B7	NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7)
pfam01712	dNK	Deoxynucleoside kinase
pfam05047	L51_S25_CI-B8	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
pfam00550	PP-binding	Phosphopantetheine attachment site
pfam04716	ETC_C1_NDUFA5	ETC complex I subunit conserved region
pfam07347	CI-B14_5a	NADH:ubiquinone oxidoreductase subunit B14.5a (Complex I-B14.5a)
pfam01370	Epimerase	NAD dependent epimerase/dehydratase family
pfam13462	Thioredoxin_4	Thioredoxin
pfam17296	ArenaCapSnatch	Arenavirus cap snatching domain
pfam00156	Pribosyltran	Phosphoribosyl transferase domain
pfam14716	HHH_8	Helix-hairpin-helix domain
pfam10391	DNA_pol_lambd_f	Fingers domain of DNA polymerase lambda
pfam14792	DNA_pol_B_palm	DNA polymerase beta palm
pfam14791	DNA_pol_B_thumb	DNA polymerase beta thumb
pfam03273	Baculo_gp64	Baculovirus gp64 envelope glycoprotein family
pfam00240	ubiquitin	Ubiquitin family
pfam08715	Viral_protease	Papain like viral protease
pfam00225	Kinesin	Kinesin motor domain
pfam15711	ILEI	Interleukin-like EMT inducer
pfam00027	cNMP_binding	Cyclic nucleotide-binding domain
pfam03098	An_peroxidase	Animal haem peroxidase
pfam16654	DAPDH_C	Diaminopimelic acid dehydrogenase C-terminal domain
pfam00232	Glyco_hydro_1	Glycosyl hydrolase family 1
pfam00274	Glycolytic	Fructose-bisphosphate aldolase class-I
pfam04616	Glyco_hydro_43	Glycosyl hydrolases family 43
pfam06632	XRCC4	DNA double-strand break repair and V(D)J recombination protein XRCC4
pfam17454	Bee_toxin	Honey bee toxin
pfam00314	Thaumatin	Thaumatin family
pfam00583	Acetyltransf_1	Acetyltransferase (GNAT) family
pfam00076	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
pfam03033	Glyco_transf_28	Glycosyltransferase family 28 N-terminal domain
pfam00201	UDPGT	UDP-glucoronosyl and UDP-glucosyl transferase
pfam03952	Enolase_N	Enolase, N-terminal domain
pfam00113	Enolase_C	Enolase, C-terminal TIM barrel domain
pfam01248	Ribosomal_L7Ae	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
pfam00347	Ribosomal_L6	Ribosomal protein L6
pfam00252	Ribosomal_L16	Ribosomal protein L16p/L10e
pfam00281	Ribosomal_L5	Ribosomal protein L5
pfam00673	Ribosomal_L5_C	ribosomal L5P family C-terminus
pfam01294	Ribosomal_L13e	Ribosomal protein L13e
pfam01929	Ribosomal_L14e	Ribosomal protein L14
pfam00827	Ribosomal_L15e	Ribosomal L15
pfam00572	Ribosomal_L13	Ribosomal protein L13
pfam00237	Ribosomal_L22	Ribosomal protein L22p/L17e
pfam17135	Ribosomal_L18	Ribosomal protein 60S L18 and 50S L18e
pfam01280	Ribosomal_L19e	Ribosomal protein L19e
pfam01775	Ribosomal_L18A	Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A
pfam01157	Ribosomal_L21e	Ribosomal protein L21e
pfam01776	Ribosomal_L22e	Ribosomal L22e protein family
pfam00238	Ribosomal_L14	Ribosomal protein L14p/L23e
pfam01246	Ribosomal_L24e	Ribosomal protein L24e
pfam03939	Ribosomal_L23eN	Ribosomal protein L23, N-terminal domain
pfam00276	Ribosomal_L23	Ribosomal protein L23
pfam16906	Ribosomal_L26	Ribosomal proteins L26 eukaryotic, L24P archaeal
pfam00467	KOW	KOW motif
pfam01777	Ribosomal_L27e	Ribosomal L27e protein family
pfam00828	Ribosomal_L27A	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
pfam01779	Ribosomal_L29e	Ribosomal L29e protein family
pfam01198	Ribosomal_L31e	Ribosomal protein L31e
pfam01655	Ribosomal_L32e	Ribosomal protein L32
pfam01247	Ribosomal_L35Ae	Ribosomal protein L35Ae
pfam01199	Ribosomal_L34e	Ribosomal protein L34e
pfam00831	Ribosomal_L29	Ribosomal L29 protein
pfam01158	Ribosomal_L36e	Ribosomal protein L36e
pfam01907	Ribosomal_L37e	Ribosomal protein L37e
pfam01781	Ribosomal_L38e	Ribosomal L38e protein family
pfam00181	Ribosomal_L2	Ribosomal Proteins L2, RNA binding domain
pfam03947	Ribosomal_L2_C	Ribosomal Proteins L2, C-terminal domain
pfam00832	Ribosomal_L39	Ribosomal L39 protein
pfam01020	Ribosomal_L40e	Ribosomal L40e family
pfam00935	Ribosomal_L44	Ribosomal protein L44
pfam01780	Ribosomal_L37ae	Ribosomal L37ae protein family
pfam01778	Ribosomal_L28e	Ribosomal L28e protein family
pfam00297	Ribosomal_L3	Ribosomal protein L3
pfam00573	Ribosomal_L4	Ribosomal protein L4/L1 family
pfam14374	Ribos_L4_asso_C	60S ribosomal protein L4 C-terminal domain
pfam17144	Ribosomal_L5e	Ribosomal large subunit proteins 60S L5, and 50S L18
pfam14204	Ribosomal_L18_c	Ribosomal L18 C-terminal region
pfam01159	Ribosomal_L6e	Ribosomal protein L6e
pfam08079	Ribosomal_L30_N	Ribosomal L30 N-terminal domain
pfam00327	Ribosomal_L30	Ribosomal protein L30p/L7e
pfam00338	Ribosomal_S10	Ribosomal protein S10p/S20e
pfam00411	Ribosomal_S11	Ribosomal protein S11
pfam00164	Ribosom_S12_S23	Ribosomal protein S12/S23
pfam00416	Ribosomal_S13	Ribosomal protein S13/S18
pfam00253	Ribosomal_S14	Ribosomal protein S14p/S29e
pfam00312	Ribosomal_S15	Ribosomal protein S15
pfam00886	Ribosomal_S16	Ribosomal protein S16
pfam00366	Ribosomal_S17	Ribosomal protein S17
pfam01084	Ribosomal_S18	Ribosomal protein S18
pfam00203	Ribosomal_S19	Ribosomal protein S19
pfam00318	Ribosomal_S2	Ribosomal protein S2
pfam01649	Ribosomal_S20p	Ribosomal protein S20
pfam01165	Ribosomal_S21	Ribosomal protein S21
pfam02482	Ribosomal_S30AE	Sigma 54 modulation protein / S30EA ribosomal protein
pfam16321	Ribosom_S30AE_C	Sigma 54 modulation/S30EA ribosomal protein C terminus
pfam07650	KH_2	KH domain
pfam00189	Ribosomal_S3_C	Ribosomal protein S3, C-terminal domain
pfam01196	Ribosomal_L17	Ribosomal protein L17
pfam00861	Ribosomal_L18p	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
pfam01245	Ribosomal_L19	Ribosomal protein L19
pfam00453	Ribosomal_L20	Ribosomal protein L20
pfam00829	Ribosomal_L21p	Ribosomal prokaryotic L21 protein
pfam00163	Ribosomal_S4	Ribosomal protein S4/S9 N-terminal domain
pfam01479	S4	S4 domain
pfam17136	ribosomal_L24	Ribosomal proteins 50S L24/mitochondrial 39S L24
pfam01386	Ribosomal_L25p	Ribosomal L25p family
pfam01016	Ribosomal_L27	Ribosomal L27 protein
pfam00830	Ribosomal_L28	Ribosomal L28 family
pfam01197	Ribosomal_L31	Ribosomal protein L31
pfam01783	Ribosomal_L32p	Ribosomal L32p protein family
pfam00471	Ribosomal_L33	Ribosomal protein L33
pfam00333	Ribosomal_S5	Ribosomal protein S5, N-terminal domain
pfam03719	Ribosomal_S5_C	Ribosomal protein S5, C-terminal domain
pfam00468	Ribosomal_L34	Ribosomal protein L34
pfam01632	Ribosomal_L35p	Ribosomal protein L35
pfam00444	Ribosomal_L36	Ribosomal protein L36
pfam01250	Ribosomal_S6	Ribosomal protein S6
pfam00177	Ribosomal_S7	Ribosomal protein S7p/S5e
pfam00410	Ribosomal_S8	Ribosomal protein S8
pfam00380	Ribosomal_S9	Ribosomal protein S9/S16
pfam03067	LPMO_10	Lytic polysaccharide mono-oxygenase, cellulose-degrading
pfam02902	Peptidase_C48	Ulp1 protease family, C-terminal catalytic domain
pfam06325	PrmA	Ribosomal protein L11 methyltransferase (PrmA)
pfam01728	FtsJ	FtsJ-like methyltransferase
pfam10447	EXOSC1	Exosome component EXOSC1/CSL4
pfam10175	MPP6	M-phase phosphoprotein 6
pfam01138	RNase_PH	3' exoribonuclease family, domain 1
pfam03725	RNase_PH_C	3' exoribonuclease family, domain 2
pfam15985	KH_6	KH domain
pfam14382	ECR1_N	Exosome complex exonuclease RRP4 N-terminal region
pfam00062	Lys	C-type lysozyme/alpha-lactalbumin family
pfam13424	TPR_12	Tetratricopeptide repeat
pfam13374	TPR_10	Tetratricopeptide repeat
pfam17295	DUF5348	Domain of unknown function (DUF5348)
pfam00010	HLH	Helix-loop-helix DNA-binding domain
pfam00989	PAS	PAS fold
pfam14598	PAS_11	PAS domain
pfam02788	RuBisCO_large_N	Ribulose bisphosphate carboxylase large chain, N-terminal domain
pfam00016	RuBisCO_large	Ribulose bisphosphate carboxylase large chain, catalytic domain
pfam00101	RuBisCO_small	Ribulose bisphosphate carboxylase, small chain
pfam02668	TauD	Taurine catabolism dioxygenase TauD, TfdA family
pfam01048	PNP_UDP_1	Phosphorylase superfamily
pfam03097	BRO1	BRO1-like domain
pfam00139	Lectin_legB	Legume lectin domain
pfam00115	COX1	Cytochrome C and Quinol oxidase polypeptide I
pfam02790	COX2_TM	Cytochrome C oxidase subunit II, transmembrane domain
pfam00116	COX2	Cytochrome C oxidase subunit II, periplasmic domain
pfam00510	COX3	Cytochrome c oxidase subunit III
pfam02936	COX4	Cytochrome c oxidase subunit IV
pfam02284	COX5A	Cytochrome c oxidase subunit Va
pfam01215	COX5B	Cytochrome c oxidase subunit Vb
pfam02046	COX6A	Cytochrome c oxidase subunit VIa
pfam02297	COX6B	Cytochrome oxidase c subunit VIb
pfam02937	COX6C	Cytochrome c oxidase subunit VIc
pfam02238	COX7a	Cytochrome c oxidase subunit VII
pfam05392	COX7B	Cytochrome C oxidase chain VIIB
pfam02935	COX7C	Cytochrome c oxidase subunit VIIc
pfam02285	COX8	Cytochrome oxidase c subunit VIII
pfam02939	UcrQ	UcrQ family
pfam09165	Ubiq-Cytc-red_N	Ubiquinol-cytochrome c reductase 8 kDa, N-terminal
pfam02921	UCR_TM	Ubiquinol cytochrome reductase transmembrane region
pfam00355	Rieske	Rieske [2Fe-2S] domain
pfam05365	UCR_UQCRX_QCR9	Ubiquinol-cytochrome C reductase, UQCRX/QCR9 like
pfam02320	UCR_hinge	Ubiquinol-cytochrome C reductase hinge protein
pfam02271	UCR_14kD	Ubiquinol-cytochrome C reductase complex 14kD subunit
pfam08997	UCR_6-4kD	Ubiquinol-cytochrome C reductase complex, 6.4kD protein
pfam02167	Cytochrom_C1	Cytochrome C1 family
pfam00033	Cytochrome_B	Cytochrome b/b6/petB
pfam00032	Cytochrom_B_C	Cytochrome b(C-terminal)/b6/petD
pfam00675	Peptidase_M16	Insulinase (Peptidase family M16)
pfam05193	Peptidase_M16_C	Peptidase M16 inactive domain
pfam09291	DUF1968	Domain of unknown function (DUF1968)
pfam01233	NMT	Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain
pfam02799	NMT_C	Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain
pfam00077	RVP	Retroviral aspartyl protease
pfam14671	DSPn	Dual specificity protein phosphatase, N-terminal half
pfam00782	DSPc	Dual specificity phosphatase, catalytic domain
pfam00719	Pyrophosphatase	Inorganic pyrophosphatase
pfam01453	B_lectin	D-mannose binding lectin
pfam00954	S_locus_glycop	S-locus glycoprotein domain
pfam08276	PAN_2	PAN-like domain
pfam06876	SCRL	Plant self-incompatibility response (SCRL) protein
pfam00418	Tubulin-binding	Tau and MAP protein, tubulin-binding repeat
pfam09396	Thrombin_light	Thrombin light chain
pfam00883	Peptidase_M17	Cytosol aminopeptidase family, catalytic domain
pfam03415	Peptidase_C11	Clostripain family
pfam11264	ThylakoidFormat	Thylakoid formation protein
pfam00026	Asp	Eukaryotic aspartyl protease
pfam13561	adh_short_C2	Enoyl-(Acyl carrier protein) reductase
pfam01433	Peptidase_M1	Peptidase family M1 domain
pfam09127	Leuk-A4-hydro_C	Leukotriene A4 hydrolase, C-terminal
pfam01634	HisG	ATP phosphoribosyltransferase
pfam08029	HisG_C	HisG, C-terminal domain
pfam01419	Jacalin	Jacalin-like lectin domain
pfam13499	EF-hand_7	EF-hand domain pair
pfam09618	Cas_Csy4	CRISPR-associated protein (Cas_Csy4)
pfam00643	zf-B_box	B-box zinc finger
pfam00530	SRCR	Scavenger receptor cysteine-rich domain
pfam01565	FAD_binding_4	FAD binding domain
pfam02913	FAD-oxidase_C	FAD linked oxidases, C-terminal domain
pfam00187	Chitin_bind_1	Chitin recognition protein
pfam00056	Ldh_1_N	lactate/malate dehydrogenase, NAD binding domain
pfam02866	Ldh_1_C	lactate/malate dehydrogenase, alpha/beta C-terminal domain
pfam00504	Chloroa_b-bind	Chlorophyll A-B binding protein
pfam00778	DIX	DIX domain
pfam00993	MHC_II_alpha	Class II histocompatibility antigen, alpha domain
pfam00969	MHC_II_beta	Class II histocompatibility antigen, beta domain
pfam00175	NAD_binding_1	Oxidoreductase NAD-binding domain
