Cid	A	B	C	D	E	NAME	FORMULA	EXACT_MASS	MOL_WEIGHT	REMARK	PubChem	ChEBI	ChEMBL	PDB.CCD	LIPIDMAPS	LipidBank	SEQUENCE
C00084	Carcinogens	Group 2B: Possibly carcinogenic to humans	Compounds	C00084  Acetaldehyde		Acetaldehyde;Ethanal	C2H4O	44.0262	44.0526		3384	15343	CHEMBL170365	ACE			
C00087	Pesticides	Pesticides	Fungicides	Inorganic fungicides		Sulfur;S;Elemental sulfur	S	31.9721	32.065	Same as: D00024	3387	17909 26833	CHEMBL2105487				
C00089	Compounds with Biological Roles	Carbohydrates	Oligosaccharides 	Disaccharides		Sucrose;Cane sugar;Saccharose;1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside	C12H22O11	342.1162	342.2965	Same as: D00025 G00370	3389	17992	CHEMBL253582	SUC			
C00090	Carcinogens	Group 2B: Possibly carcinogenic to humans	Compounds	C00090  Catechol		Catechol;1,2-Benzenediol;o-Benzenediol;1,2-Dihydroxybenzene;Brenzcatechin;Pyrocatechol	C6H6O2	110.0368	110.1106		3390	18135	CHEMBL280998	CAQ			
C00095	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Ketoses 		D-Fructose;Levulose;Fruit sugar;D-arabino-Hexulose	C6H12O6	180.0634	180.1559		3395	15824 37721	CHEMBL604608	FRU			
C00097	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Cysteine;L-2-Amino-3-mercaptopropionic acid	C3H7NO2S	121.0197	121.1582	Same as: D00026	3397	17561	CHEMBL863	CYS			
C00099	Compounds with Biological Roles	Peptides	Amino acids	Other amino acids 		beta-Alanine;3-Aminopropionic acid;3-Aminopropanoate	C3H7NO2	89.0477	89.0932	Same as: D07561	3399	16958	CHEMBL297569	BAL			
C00099	Compounds with Biological Roles	Peptides	Amines	Biogenic amines 		beta-Alanine;3-Aminopropionic acid;3-Aminopropanoate	C3H7NO2	89.0477	89.0932	Same as: D07561	3399	16958	CHEMBL297569	BAL			
C00101	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		Tetrahydrofolate;5,6,7,8-Tetrahydrofolate;Tetrahydrofolic acid;THF;(6S)-Tetrahydrofolate;(6S)-Tetrahydrofolic acid;(6S)-THFA	C19H23N7O6	445.171	445.4292		3401	15635 20506	CHEMBL2021342	THG			
C00105	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		UMP;Uridylic acid;Uridine monophosphate;Uridine 5'-monophosphate;5'Uridylic acid	C9H13N2O9P	324.0359	324.1813		3405	16695	CHEMBL214393	U U5P			
C00106	Compounds with Biological Roles	Nucleic acids	Bases 	Pyrimidines		Uracil	C4H4N2O2	112.0273	112.0868	Same as: D00027	3406	17568	CHEMBL566	URA			
C00109	Compounds with Biological Roles	Organic acids	Carboxylic acids 	2-Oxocarboxylic acids		2-Oxobutanoate;2-Ketobutyric acid;2-Oxobutyric acid;2-Oxobutyrate;2-Oxobutanoic acid;alpha-Ketobutyric acid;alpha-Ketobutyrate	C4H6O3	102.0317	102.0886		3409	16763 30831	CHEMBL171246	2KT			
C00109	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0106 Oxo fatty acids		2-Oxobutanoate;2-Ketobutyric acid;2-Oxobutyric acid;2-Oxobutyrate;2-Oxobutanoic acid;alpha-Ketobutyric acid;alpha-Ketobutyrate	C4H6O3	102.0317	102.0886		3409	16763 30831	CHEMBL171246	2KT			
C00110	Lipids	PR  Prenol Lipids	PR03 Polyprenols	PR0308 Dolichol monophosphates		Dolichyl phosphate;Dolichol phosphate	C20H37O4P(C5H8)n			Same as: G10622	3410	16214					
C00112	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		CDP;Cytidine 5'-diphosphate;Cytidine diphosphate	C9H15N3O11P2	403.0182	403.1764		3412	17239	CHEMBL425252	CDP			
C00113	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		PQQ;Pyrrolo-quinoline quinone;Pyrroloquinoline-quinone;Pyrroloquinoline quinone;4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate;Methoxatin	C14H6N2O8	330.0124	330.206		3413	18315	CHEMBL1235421	PQQ			
C00114	Pesticides	Pesticides	Plant growth regulators	Others		Choline;Bilineurine	C5H14NO	104.1075	104.1708	Same as: D07690	3414	15354	CHEMBL920	CHT			
C00116	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Sugar alcohols 		Glycerol;Glycerin;1,2,3-Trihydroxypropane;1,2,3-Propanetriol	C3H8O3	92.0473	92.0938	Same as: D00028	3416	17754	CHEMBL692	GOL			
C00120	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		Biotin;D-Biotin;Vitamin H;Coenzyme R	C10H16N2O3S	244.0882	244.3106	Same as: D00029	3420	15956	CHEMBL857	BTN			
C00121	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Aldoses 		D-Ribose	C5H10O5	150.0528	150.1299		3421	47013	CHEMBL444125 CHEMBL606078	BDR RIB			
C00123	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Leucine;2-Amino-4-methylvaleric acid;(2S)-alpha-2-Amino-4-methylvaleric acid;(2S)-alpha-Leucine	C6H13NO2	131.0946	131.1729	Same as: D00030	3423	15603	CHEMBL291962	LEU			
C00124	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Aldoses 		D-Galactose;D-Galactopyranose	C6H12O6	180.0634	180.1559		3424	4139	CHEMBL1233058 CHEMBL195923 CHEMBL300520	GAL GLA			
C00129	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0101 C5 isoprenoids (hemiterpenes)		Isopentenyl diphosphate;Delta3-Isopentenyl diphosphate;Delta3-Methyl-3-butenyl diphosphate	C5H12O7P2	246.0058	246.0921		3429	16584	CHEMBL356362	IPE			
C00131	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Deoxyribonucleotides		dATP;2'-Deoxyadenosine 5'-triphosphate;Deoxyadenosine 5'-triphosphate;Deoxyadenosine triphosphate	C10H16N5O12P3	491.0008	491.1816		3431	16284	CHEMBL335538	DTP			
C00133	Compounds with Biological Roles	Peptides	Amino acids	Other amino acids 		D-Alanine;D-2-Aminopropionic acid;D-Ala	C3H7NO2	89.0477	89.0932		3433	15570	CHEMBL66693	DAL			
C00134	Compounds with Biological Roles	Peptides	Amines	Biogenic amines 		Putrescine;1,4-Butanediamine;1,4-Diaminobutane;Tetramethylenediamine;Butane-1,4-diamine	C4H12N2	88.1	88.1515		3434	17148	CHEMBL46257	PUT			
C00135	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Histidine;(S)-alpha-Amino-1H-imidazole-4-propionic acid	C6H9N3O2	155.0695	155.1546	Same as: D00032	3435	15971	CHEMBL17962	HIS			
C00137	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Sugar alcohols 		myo-Inositol;D-myo-Inositol;1D-myo-Inositol;L-myo-Inositol;1L-myo-Inositol;meso-Inositol;Inositol;Dambose;Cyclohexitol;Meat sugar;Bios I	C6H12O6	180.0634	180.1559	Same as: D08079	3437	17268	CHEMBL1222251	INS			
C00140	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Amino sugars 		N-Acetyl-D-glucosamine;N-Acetylchitosamine;2-Acetamido-2-deoxy-D-glucose;GlcNAc	C8H15NO6	221.0899	221.2078		3440	506227	CHEMBL1234669 CHEMBL240524 CHEMBL447878	NAG NDG			
C00141	Compounds with Biological Roles	Organic acids	Carboxylic acids 	2-Oxocarboxylic acids		3-Methyl-2-oxobutanoic acid;3-Methyl-2-oxobutyric acid;3-Methyl-2-oxobutanoate;2-Oxo-3-methylbutanoate;2-Oxoisovalerate;2-Oxoisopentanoate;alpha-Ketovaline;2-Ketovaline;2-Keto-3-methylbutyric acid	C5H8O3	116.0473	116.1152		3441	11851 16530	CHEMBL146554	KIV			
C00141	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0102 Branched fatty acids		3-Methyl-2-oxobutanoic acid;3-Methyl-2-oxobutyric acid;3-Methyl-2-oxobutanoate;2-Oxo-3-methylbutanoate;2-Oxoisovalerate;2-Oxoisopentanoate;alpha-Ketovaline;2-Ketovaline;2-Keto-3-methylbutyric acid	C5H8O3	116.0473	116.1152		3441	11851 16530	CHEMBL146554	KIV			
C00144	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		GMP;Guanosine 5'-phosphate;Guanosine monophosphate;Guanosine 5'-monophosphate;Guanylic acid	C10H14N5O8P	363.058	363.2206		3444	17345	CHEMBL283807	5GP G			
C00147	Compounds with Biological Roles	Nucleic acids	Bases 	Purines		Adenine;6-Aminopurine	C5H5N5	135.0545	135.1267	Same as: D00034	3447	16708	CHEMBL226345	ADE			
C00148	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Proline;2-Pyrrolidinecarboxylic acid	C5H9NO2	115.0633	115.1305	Same as: D00035	3448	17203	CHEMBL54922	PRO			
C00149	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Hydroxycarboxylic acids		(S)-Malate;L-Malate;L-Apple acid;L-Malic acid;L-2-Hydroxybutanedioic acid;Malate;Malic acid	C4H6O5	134.0215	134.0874		3449	15589 30797		LMR			
C00152	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Asparagine;2-Aminosuccinamic acid	C4H8N2O3	132.0535	132.1179	Drug group: DG01672	3452	17196	CHEMBL58832	41Q ASN			
C00153	Compounds with Biological Roles	Vitamins and Cofactors	Vitamins	Water-soluble vitamins 		Nicotinamide;Nicotinic acid amide;Niacinamide;Vitamin PP	C6H6N2O	122.048	122.1246	Same as: D00036	3453	17154	CHEMBL1140	NCA			
C00153	Phytochemical Compounds	Alkaloids	Alkaloids derived from nicotinic acid	Pyridine alkaloids		Nicotinamide;Nicotinic acid amide;Niacinamide;Vitamin PP	C6H6N2O	122.048	122.1246	Same as: D00036	3453	17154	CHEMBL1140	NCA			
C00154	Lipids	FA  Fatty acyls	FA07 Fatty esters	FA0705 Fatty acyl CoAs		Palmitoyl-CoA;Hexadecanoyl-CoA	C37H66N7O17P3S	1005.3449	1005.9429		3454	15525	CHEMBL3904487	PKZ			
C00155	Compounds with Biological Roles	Peptides	Amino acids	Other amino acids 		L-Homocysteine;L-2-Amino-4-mercaptobutyric acid;Homocysteine	C4H9NO2S	135.0354	135.1848		3455	17588	CHEMBL469662	HCS			
C00157	Compounds with Biological Roles	Lipids	Phospholipids 	Glycerophospholipids		Phosphatidylcholine;Lecithin;Phosphatidyl-N-trimethylethanolamine;1,2-Diacyl-sn-glycero-3-phosphocholine;Choline phosphatide;3-sn-Phosphatidylcholine	C10H18NO8PR2				3457	16110 49183					
C00157	Lipids	GP  Glycerophospholipids	GP01 Glycerophosphocholines	GP0101 Diacylglycerophosphocholines		Phosphatidylcholine;Lecithin;Phosphatidyl-N-trimethylethanolamine;1,2-Diacyl-sn-glycero-3-phosphocholine;Choline phosphatide;3-sn-Phosphatidylcholine	C10H18NO8PR2				3457	16110 49183					
C00158	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Tricarboxylic acids		Citrate;Citric acid;2-Hydroxy-1,2,3-propanetricarboxylic acid;2-Hydroxytricarballylic acid	C6H8O7	192.027	192.1235	Same as: D00037	3458	16947 30769	CHEMBL1261	CIT FLC			
C00159	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Aldoses 		D-Mannose;Mannose;Seminose;Carubinose;D-Mannopyranose	C6H12O6	180.0634	180.1559		3459	4208	CHEMBL365590 CHEMBL469448 CHEMBL98182	BMA MAN			
C00163	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Monocarboxylic acids		Propanoate;Propionate;Propanoic acid;Propionic acid	C3H6O2	74.0368	74.0785	Same as: D02310	3463	17272 30768	CHEMBL14021	PPI			
C00163	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0101 Straight chain fatty acids		Propanoate;Propionate;Propanoic acid;Propionic acid	C3H6O2	74.0368	74.0785	Same as: D02310	3463	17272 30768	CHEMBL14021	PPI			
C00164	Compounds with Biological Roles	Organic acids	Carboxylic acids 	3-Oxocarboxylic acids		Acetoacetate;3-Oxobutanoic acid;beta-Ketobutyric acid;Acetoacetic acid	C4H6O3	102.0317	102.0886		3464	13705 15344	CHEMBL1230762	AAE			
C00164	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0106 Oxo fatty acids		Acetoacetate;3-Oxobutanoic acid;beta-Ketobutyric acid;Acetoacetic acid	C4H6O3	102.0317	102.0886		3464	13705 15344	CHEMBL1230762	AAE			
C00165	Lipids	GL  Glycerolipids	GL02 Diradylglycerols	GL0201 Diacylglycerols		Diacylglycerol;Diglyceride	C5H6O5R2				3465	18035					
C00178	Compounds with Biological Roles	Nucleic acids	Bases 	Pyrimidines		Thymine;5-Methyluracil	C5H6N2O2	126.0429	126.1133		3478	17821	CHEMBL993	TDR			
C00179	Phytochemical Compounds	Amino acid related compounds	Others	Amines		Agmatine;(4-Aminobutyl) guanidine	C5H14N4	130.1218	130.1915		3479	17431	CHEMBL58343	AG2			
C00179	Target-based Classification of Compounds	G Protein-coupled receptors	Rhodopsin family: amine receptors	Adrenaline		Agmatine;(4-Aminobutyl) guanidine	C5H14N4	130.1218	130.1915		3479	17431	CHEMBL58343	AG2			
C00181	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Aldoses 		D-Xylose;Wood sugar	C5H10O5	150.0528	150.1299	Same as: D06346	3481	15936 53455	CHEMBL502135	XYP XYS			
C00183	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Valine;2-Amino-3-methylbutyric acid	C5H11NO2	117.079	117.1463	Same as: D00039	3483	16414	CHEMBL43068	VAL			
C00184	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Ketoses 		Glycerone;Dihydroxyacetone;1,3-Dihydroxyacetone;1,3-Dihydroxy-2-propanone;1,3-Dihydroxypropan-2-one	C3H6O3	90.0317	90.0779	Same as: D07841	3484	16016	CHEMBL1229937	2HA			
C00185	Compounds with Biological Roles	Carbohydrates	Oligosaccharides 	Disaccharides		Cellobiose;1-beta-D-Glucopyranosyl-4-D-glucopyranose	C12H22O11	342.1162	342.2965	Same as: G00289	3485	17057	CHEMBL1231670 CHEMBL1614877	CBI CBK			
C00186	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Hydroxycarboxylic acids		(S)-Lactate;L-Lactate;L-Lactic acid	C3H6O3	90.0317	90.0779		3486	16651 422	CHEMBL330546	2OP			
