	Type	Common-Name
GLYCOL-GLYOXDEG-PWY	Super-Pathways	superpathway of glycol metabolism and degradation
PWY-6464	Alcohol-Degradation	polyvinyl alcohol degradation
PWY-7013	Fermentation-to-propanoate	(<i>S</i>)-propane-1,2-diol degradation
PWY-7616	Super-Pathways	methanol oxidation to carbon dioxide
PWY0-1280	Alcohol-Degradation	ethylene glycol degradation
PWY3O-246	2-3-Butanediol-Degradation	(R,R)-butanediol degradation
PWY-6388	2-3-Butanediol-Degradation	(S,S)-butanediol degradation
PWY-3661	Glycine-Betaine-Degradation	glycine betaine degradation I
PWY-6466	Vitamin-B6-Biosynthesis	pyridoxal 5'-phosphate biosynthesis II
PWY-6572	Glycosaminoglycan-Degradation	chondroitin sulfate degradation I (bacterial)
PWY-7644	Glycosaminoglycan-Degradation	heparin degradation
PYRIDOXSYN-PWY	Vitamin-B6-Biosynthesis	pyridoxal 5'-phosphate biosynthesis I
PWY-7651	Glycosaminoglycan-Degradation	heparan sulfate degradation
PWY-7646	Glycosaminoglycan-Degradation	dermatan sulfate degradation I (bacterial)
PLPSAL-PWY	Vitamin-B6-Biosynthesis	pyridoxal 5'-phosphate salvage I
PWY-7645	Glycosaminoglycan-Degradation	hyaluronan degradation
ILEUSYN-PWY	ISOLEUCINE-SYN	L-isoleucine biosynthesis I (from threonine)
PWY-5103	ISOLEUCINE-SYN	L-isoleucine biosynthesis III
PWY-5101	ISOLEUCINE-SYN	L-isoleucine biosynthesis II
PWY-5108	ISOLEUCINE-SYN	L-isoleucine biosynthesis V
PWY-3001	Super-Pathways	superpathway of L-isoleucine biosynthesis I
PWY-5104	ISOLEUCINE-SYN	L-isoleucine biosynthesis IV
PWY-6289	Siderophores-Biosynthesis	petrobactin biosynthesis
PWY0-1534	Hydrogen-Sulfide-Biosynthesis	hydrogen sulfide biosynthesis I
PWY-7986	Siderophores-Biosynthesis	anguibactin biosynthesis
PWY-6376	Siderophores-Biosynthesis	desferrioxamine B biosynthesis
PWY-7989	Siderophores-Biosynthesis	acinetoferrin biosynthesis
PWY-6381	Siderophores-Biosynthesis	bisucaberin biosynthesis
PWY-7515	Hydroxyprolines-Degradation	<i>trans</i>-3-hydroxy-L-proline degradation
PWY-5159	Hydroxyprolines-Degradation	<i>trans</i>-4-hydroxy-L-proline degradation II
PWY-8023	Siderophores-Biosynthesis	salmochelin biosynthesis
PWY-6409	Siderophores-Biosynthesis	pyoverdine I biosynthesis
ENTBACSYN-PWY	Super-Pathways	enterobactin biosynthesis
PWY-7984	Siderophores-Biosynthesis	acinetobactin biosynthesis
PWY-6375	Siderophores-Biosynthesis	desferrioxamine E biosynthesis
PWY-7988	Siderophores-Biosynthesis	baumannoferrin biosynthesis
PWY-6379	Siderophores-Biosynthesis	alcaligin biosynthesis
PWY-8008	Siderophores-Biosynthesis	staphyloferrin B biosynthesis
PWY-6408	Siderophores-Biosynthesis	pyochelin biosynthesis
AEROBACTINSYN-PWY	Siderophores-Biosynthesis	aerobactin biosynthesis
PWY-5429	Xylene-Degradation	1,4-dimethylbenzene degradation to 4-methylbenzoate
PWY-7431	AMINE-DEG	aromatic biogenic amine degradation (bacteria)
PWY-7941	Isorenieratene-Biosynthesis	isorenieratene biosynthesis II (<i>Chlorobiaceae</i>)
PWY-5428	Xylene-Degradation	1,3-dimethylbenzene degradation to 3-methylbenzoate
PWY-7938	Isorenieratene-Biosynthesis	isorenieratene biosynthesis I (actinobacteria)
PWY-3621	Super-Pathways	&gamma;-butyrobetaine degradation
PWY-7085	AMINE-DEG	triethylamine degradation
PWY-7983	Siderophores-Biosynthesis	pseudomonine biosynthesis
PWY0-1477	AMINE-DEG	ethanolamine utilization
GLCMANNANAUT-PWY	Super-Pathways	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation
P561-PWY	AMINE-DEG	proline betaine degradation
PWY-6374	Super-Pathways	vibriobactin biosynthesis
PWY-6071	Super-Pathways	superpathway of phenylethylamine degradation
PWY-6772	Hydrogen-Production	hydrogen production V
PWY-7987	Siderophores-Biosynthesis	vanchrobactin biosynthesis
PWY-7731	Super-Pathways	superpathway of photosynthetic hydrogen production
PWY-7855	AMINE-DEG	ectoine degradation
PWY-6751	Super-Pathways	superpathway of hydrogen production
PWY-6378	Siderophores-Biosynthesis	putrebactin biosynthesis
PWY-6765	Hydrogen-Production	hydrogen production IV
PWY-5736	AMINE-DEG	isopropylamine degradation
PWY-6785	Hydrogen-Production	hydrogen production VIII
PWY-7990	Siderophores-Biosynthesis	staphyloferrin A biosynthesis
PWY-6744	Hydrogen-Production	hydrogen production I
PWY-6759	Hydrogen-Production	hydrogen production III
PWY-6407	Siderophores-Biosynthesis	yersiniabactin biosynthesis
PWY-6780	Hydrogen-Production	hydrogen production VI
PWY-8020	Xylose-Degradation	D-xylose degradation V
PWY-6758	Hydrogen-Production	hydrogen production II
PWY-6574	Siderophores-Biosynthesis	achromobactin biosynthesis
PWY-7294	Xylose-Degradation	D-xylose degradation IV
PWY-6962	Super-Pathways	superpathway of trimethylamine degradation
ORNDEG-PWY	Super-Pathways	superpathway of ornithine degradation
PWY-5903	Super-Pathways	bacillibactin biosynthesis
PWY-6760	Xylose-Degradation	D-xylose degradation III
PWY-6968	AMINE-DEG	trimethylamine degradation
PWY-761	Siderophores-Biosynthesis	rhizobactin 1021 biosynthesis
XYLCAT-PWY	Xylose-Degradation	D-xylose degradation I
PWY-7594	Gamma-linolenate-Biosynthesis	&gamma;-linolenate biosynthesis III (cyanobacteria)
PWY-5998	Gamma-linolenate-Biosynthesis	&gamma;-linolenate biosynthesis I (plants)
PWY0-1347	Electron-Transfer	NADH to trimethylamine <i>N</i>-oxide electron transfer
PWY0-1355	Electron-Transfer	formate to trimethylamine <i>N</i>-oxide electron transfer
P224-PWY	Dissimilatory-Sulfate-Reduction	dissimilatory sulfate reduction II (to thiosulfate)
PWY0-1576	Electron-Transfer	hydrogen to fumarate electron transfer
PWY-5674	Nitrate-Reduction	nitrate reduction IV (dissimilatory)
PWY0-1581	Nitrate-Reduction	nitrate reduction IX (dissimilatory)
PWY-6748	Nitrate-Reduction	nitrate reduction VII (denitrification)
PWY0-1585	Electron-Transfer	formate to nitrite electron transfer
PWY0-1336	Electron-Transfer	NADH to fumarate electron transfer
PWY0-1352	Nitrate-Reduction	nitrate reduction VIII (dissimilatory)
DISSULFRED-PWY	Dissimilatory-Sulfate-Reduction	dissimilatory sulfate reduction I (to hydrogen sufide))
PWY0-1573	Nitrate-Reduction	nitrate reduction VIIIb (dissimilatory)
PWY-6735	Starch-Degradation	starch degradation IV
PWY-4601	ANAEROBIC-RESPIRATION	arsenate reduction (respiratory)
PWY0-1578	Electron-Transfer	hydrogen to trimethylamine N-oxide electron transfer
PWY-6731	Starch-Degradation	starch degradation III
PWY-6530	ANAEROBIC-RESPIRATION	perchlorate reduction
PWY0-1584	Nitrate-Reduction	nitrate reduction X (dissimilatory, periplasmic)
PWY0-1321	Nitrate-Reduction	nitrate reduction III (dissimilatory)
PWY0-1348	Electron-Transfer	NADH to dimethyl sulfoxide electron transfer
PWY-5302	Sulfur-Disproportionation	sulfur disproportionation II (aerobic)
PWY-6737	Starch-Degradation	starch degradation V
DENITRIFICATION-PWY	Nitrate-Reduction	nitrate reduction I (denitrification)
PWY0-1356	Electron-Transfer	formate to dimethyl sulfoxide electron transfer
P303-PWY	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	ammonia oxidation II (anaerobic)
PWY0-1577	Electron-Transfer	hydrogen to dimethyl sulfoxide electron transfer
P203-PWY	Sulfur-Disproportionation	sulfur disproportionation I (anaerobic)
PWY-6529	ANAEROBIC-RESPIRATION	chlorate reduction
PWY0-1582	Electron-Transfer	glycerol-3-phosphate to fumarate electron transfer
PWY-7084	Super-Pathways	nitrifier denitrification
PWY-7200	Super-Pathways	superpathway of pyrimidine deoxyribonucleoside salvage
PWY-7183	Pyrimidine-Nucleotide-Salvage	pyrimidine nucleobases salvage I
PWY-7195	Pyrimidine-Ribonucleosides-Degradation	pyrimidine ribonucleosides salvage III
PWY-7199	Pyrimidine-Nucleotide-Salvage	pyrimidine deoxyribonucleosides salvage
PWY-7208	Super-Pathways	superpathway of pyrimidine nucleobases salvage
SERSYN-PWY	SERINE-BIOSYNTHESIS	L-serine biosynthesis I
PWY-6556	Pyrimidine-Ribonucleosides-Degradation	pyrimidine ribonucleosides salvage II
PWY-7194	Super-Pathways	pyrimidine nucleobases salvage II
SERDEG-PWY	SERINE-DEG	L-serine degradation
PWY-7205	Pyrimidine-Nucleotide-Salvage	CMP phosphorylation
PWY-7193	Pyrimidine-Nucleotide-Salvage	pyrimidine ribonucleosides salvage I
PWY-7196	Super-Pathways	superpathway of pyrimidine ribonucleosides salvage
PWY-5888	Rhodoquinone-Biosynthesis	rhodoquinone-10 biosynthesis
PWY-5482	Pyruvate-Acetate-Fermentation	pyruvate fermentation to acetate II
P142-PWY	Super-Pathways	pyruvate fermentation to acetate I
PWY-5100	Super-Pathways	pyruvate fermentation to acetate and lactate II
PWY-5485	Super-Pathways	pyruvate fermentation to acetate IV
PWY-5096	Super-Pathways	pyruvate fermentation to acetate and alanine
PWY-5483	Super-Pathways	pyruvate fermentation to acetate III
P41-PWY	Super-Pathways	pyruvate fermentation to acetate and (<i>S</i>)-lactate I
PWY-7798	Protein-Modification	protein <i>S</i>-nitrosylation and denitrosylation
PWY-7884	Protein-Modification	lipoprotein posttranslational modification
PWY-7887	Protein-Modification	protein SAMPylation and SAMP-mediated thiolation
PWY-7893	Protein-Modification	protein Pupylation and dePupylation
PWY-7942	Protein-Modification	5-oxo-L-proline metabolism
PWY0-1599	Protein-Modification	periplasmic disulfide bond formation
PWY0-1600	Protein-Modification	periplasmic disulfide bond reduction
PWY-7808	Antibiotic-Resistance	tetracycline resistance
PWY-7652	ANTIBIOTIC-DEGRADATION	echinocandin B degradation
PWY-7658	Protein-Glycosylation	protein <I>N</i>-glycosylation (<i>Methanococcus voltae</i>)
PANTOSYN-PWY	Vitamin-Biosynthesis	superpathway of coenzyme A biosynthesis I (bacteria)
PWY-5027	Vitamin-Biosynthesis	phylloquinol biosynthesis
1CMET2-PWY	Folate-Biosynthesis	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis
FOLSYN-PWY	Super-Pathways	superpathway of tetrahydrofolate biosynthesis and salvage
PWY-2161	Folate-Biosynthesis	folate polyglutamylation
PWY-6543	Folate-Biosynthesis	4-aminobenzoate biosynthesis
PWY-6612	Super-Pathways	superpathway of tetrahydrofolate biosynthesis
PWY-6613	Folate-Biosynthesis	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate
PWY-6614	Folate-Biosynthesis	tetrahydrofolate biosynthesis
PWY-6147	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-7905	O-Antigen-Biosynthesis	<i>Escherichia coli</i> serotype O9a <i>O</i>-antigen biosynthesis
PWY-7852	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)
PWY-7539	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)
PWY-7530	O-Antigen-Biosynthesis	&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosamine biosynthesis
PWY-7661	Protein-Glycosylation	protein <I>N</i>-glycosylation (<i>Haloferax volcanii</i>)
PWY-6797	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (<i>Methanocaldococcus</i>)
PWY-7853	6-HM-Dihydropterin-PP-Biosynthesis	6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (<i>Pyrococcus</i>)
PWY-7290	O-Antigen-Biosynthesis	<i>Escherichia coli</i> serotype O86 <i>O</i>-antigen biosynthesis
PWY-7833	Protein-Glycosylation	biosynthesis of Lewis epitopes (H. pylori)
N2FIX-PWY	Nitrogen-Fixation	nitrogen fixation I (ferredoxin)
PWY-7576	Nitrogen-Fixation	nitrogen fixation II (flavodoxin)
PWY-7892	Nucleic-Acid-Processing	tRNA-uridine 2-thiolation (bacteria)
PWY0-1479	Nucleic-Acid-Processing	tRNA processing
PWY-6711	Nucleic-Acid-Processing	archaeosine biosynthesis I
PWY-7087	Terpenoid-Biosynthesis	2-methylisoborneol biosynthesis
PWY-7285	Nucleic-Acid-Processing	methylwyosine biosynthesis
QUINATEDEG-PWY	Quinate-Degradation	quinate degradation I
PWY-6416	Quinate-Degradation	quinate degradation II
PWY-7923	Nucleic-Acid-Processing	archaeosine biosynthesis II
CAROTENOID-PWY	Super-Pathways	superpathway of carotenoid biosynthesis in plants
PWY-6700	Nucleic-Acid-Processing	queuosine biosynthesis
PWY-5288	C40-Carotenoids-Biosynthesis	astaxanthin biosynthesis (bacteria, fungi, algae)
PWY0-1587	Nucleic-Acid-Processing	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
PWY-5943	C40-Carotenoids-Biosynthesis	&beta;-carotene biosynthesis
PWY-5944	C40-Carotenoids-Biosynthesis	zeaxanthin biosynthesis
PWY-5945	Interconversion	violaxanthin, antheraxanthin and zeaxanthin interconversion
PWY-5946	C40-Carotenoids-Biosynthesis	&delta;-carotene biosynthesis
PWY-5947	C40-Carotenoids-Biosynthesis	lutein biosynthesis
PWY-6279	C40-Carotenoids-Biosynthesis	myxol-2' fucoside biosynthesis
PWY-6280	C40-Carotenoids-Biosynthesis	synechoxanthin biosynthesis
PWY-7904	Nucleic-Acid-Processing	tRNA-uridine 2-thiolation (thermophilic bacteria)
PWY-5366	Palmitoleate-Biosynthesis	palmitoleate biosynthesis II (plants and bacteria)
PWY-6286	C40-Carotenoids-Biosynthesis	spheroidene and spheroidenone biosynthesis
PWY-6287	C40-Carotenoids-Biosynthesis	neurosporene biosynthesis
PWY0-1554	Nucleic-Acid-Processing	5-(carboxymethoxy)uridine biosynthesis
PWY-7589	Palmitoleate-Biosynthesis	palmitoleate biosynthesis III (cyanobacteria)
PWY-6288	C40-Carotenoids-Biosynthesis	zeaxanthin-&beta;-D-diglucoside biosynthesis
PWY-6581	C40-Carotenoids-Biosynthesis	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis
PWY-7286	Nucleic-Acid-Processing	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
PWY-6282	Palmitoleate-Biosynthesis	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
PWY-7175	C40-Carotenoids-Biosynthesis	nostoxanthin biosynthesis
PWY-7393	Super-Pathways	&beta;-carotene biosynthesis (engineered)
PWY-7591	C40-Carotenoids-Biosynthesis	okenone biosynthesis
PWY-7623	C40-Carotenoids-Biosynthesis	astaxanthin dirhamnoside biosynthesis
PWY-7581	NAN-MANNACs-degradation	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation II
PWY0-1221	Putrescine-Degradation	putrescine degradation II
PWY-7637	Metabolic-Clusters	2,2'-dihydroxyketocarotenoids biosynthesis
PWY0-1324	NAN-MANNACs-degradation	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I
PWY-7638	C40-Carotenoids-Biosynthesis	echinenone and zeaxanthin biosynthesis (<i>Synechocystis</i>)
PUTDEG-PWY	Putrescine-Degradation	putrescine degradation I
PWY-7939	C40-Carotenoids-Biosynthesis	chlorobactene biosynthesis
PWY-3	Putrescine-Degradation	putrescine degradation V
PWY-7940	C40-Carotenoids-Biosynthesis	lauryl-hydroxychlorobactene glucoside biosynthesis
PWY-2	Putrescine-Degradation	putrescine degradation IV
PWY-7947	C40-Carotenoids-Biosynthesis	flexixanthin biosynthesis
PWY-7566	SUGAR-ACIDS-DEG	L-gulonate degradation
IDNCAT-PWY	SUGAR-ACIDS-DEG	L-idonate degradation
PWY-7516	SUGAR-ACIDS-DEG	L-lyxonate degradation
GALACTCAT-PWY	SUGAR-ACIDS-DEG	D-galactonate degradation
PWY-7242	SUGAR-ACIDS-DEG	D-fructuronate degradation
PWY0-1306	SUGAR-ACIDS-DEG	L-galactonate degradation
DHGLUCONATE-PYR-CAT-PWY	Sugars-And-Polysaccharides-Degradation	glucose degradation (oxidative)
KETOGLUCONMET-PWY	Super-Pathways	ketogluconate metabolism
GLUCUROCAT-PWY	Super-Pathways	superpathway of &beta;-D-glucuronosides degradation
PWY-7247	D-Glucuronate-Degradation	&beta;-D-glucuronide and D-glucuronate degradation
PWY-6501	D-Glucuronate-Degradation	D-glucuronate degradation II
PWY-5658	Mannosylglycerate-Biosynthesis	mannosylglycerate biosynthesis II
PWY-5656	Mannosylglycerate-Biosynthesis	mannosylglycerate biosynthesis I
ARGDEG-V-PWY	ARGININE-DEG	L-arginine degradation X (arginine monooxygenase pathway)
AST-PWY	ARGININE-DEG	L-arginine degradation II (AST pathway)
PWY-5837	DHNA-Biosynthesis	2-carboxy-1,4-naphthoquinol biosynthesis
GLUCARDEG-PWY	D-Glucarate-Degradation	<i>D</i>-glucarate degradation I
PWY-6499	D-Glucarate-Degradation	D-glucarate degradation II
PWY-5924	Limonene-Degradation	limonene degradation II (L-limonene)
GLNSYN-PWY	GLUTAMINE-SYN	L-glutamine biosynthesis I
PWY-6526	Limonene-Degradation	limonene degradation III (to perillate)
PWY-6964	Ammonia-Assimilation	ammonia assimilation cycle II
PWY-8029	Limonene-Degradation	limonene degradation (anaerobic)
AMMASSIM-PWY	Super-Pathways	ammonia assimilation cycle III
PWY-5923	Limonene-Degradation	limonene degradation I (D-limonene)
PWY-7378	Aminopropanol-Phosphate-Biosynthesis	aminopropanol phosphate biosynthesis II
PWY-5443	Aminopropanol-Phosphate-Biosynthesis	aminopropanol phosphate biosynthesis I
PWY490-3	Nitrate-Reduction	nitrate reduction VI (assimilatory)
PWY-7037	Protein-Glycosylation	protein <i>O</i>-glycosylation (Neisseria)
PWY-5675	Nitrate-Reduction	nitrate reduction V (assimilatory)
BIOTIN-BIOSYNTHESIS-PWY	Super-Pathways	biotin biosynthesis I
PWY0-1507	BIOTIN-SYN	biotin biosynthesis from 8-amino-7-oxononanoate I
PWY-7380	BIOTIN-SYN	biotin biosynthesis from 8-amino-7-oxononanoate II
PWY-5005	Super-Pathways	biotin biosynthesis II
PWY-5389	S-CONTAINING-SECONDARY-CMPD-SYN	3-methylthiopropanoate biosynthesis
PWY-7031	Protein-Glycosylation	protein <i>N</i>-glycosylation (bacterial)
PWY-6116	Oligosaccharides-Biosynthesis	mannosylfructose biosynthesis
ARG-PRO-PWY	PROLINE-SYN	L-arginine degradation VI (arginase 2 pathway)
ARGASEDEG-PWY	GLUTAMATE-SYN	L-arginine degradation I (arginase pathway)
ARGSYN-PWY	Super-Pathways	L-arginine biosynthesis I (via L-ornithine)
PWY-5154	ARGININE-SYN	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)
ARGSYNBSUB-PWY	ARGININE-SYN	L-arginine biosynthesis II (acetyl cycle)
PWY-7400	ARGININE-SYN	L-arginine biosynthesis IV (archaebacteria)
PWY-5314	LYSINE-DEG	L-lysine degradation VIII
PWY-6328	LYSINE-DEG	L-lysine degradation X
PWY-5283	LYSINE-DEG	L-lysine degradation V
PWY-5280	LYSINE-DEG	L-lysine degradation IV
GALACTUROCAT-PWY	D-Galacturonate-Degradation	D-galacturonate degradation I
PWY0-461	LYSINE-DEG	L-lysine degradation I
PWY-6486	D-Galacturonate-Degradation	D-galacturonate degradation II
PWY-5298	LYSINE-DEG	L-lysine degradation VI
PWY-5327	Super-Pathways	superpathway of L-lysine degradation
